"",BBFB1.Q.N.DE.A7.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:10,
1991-01,129.878,
1991-04,185.438,
1991-07,183.614,
1991-10,196.171,
1992-01,176.962,
1992-04,202.137,
1992-07,168.548,
1992-10,174.183,
1993-01,162.918,
1993-04,183.888,
1993-07,183.047,
1993-10,219.507,
1994-01,163.592,
1994-04,195.249,
1994-07,219.532,
1994-10,186.699,
1995-01,192.227,
1995-04,200.053,
1995-07,262.766,
1995-10,245.359,
1996-01,207.709,
1996-04,270.436,
1996-07,237.179,
1996-10,296.138,
1997-01,292.575,
1997-04,254.267,
1997-07,304.757,
1997-10,348.609,
1998-01,292.358,
1998-04,316.867,
1998-07,352.579,
1998-10,321.793,
1999-01,414.853,
1999-04,340.758,
1999-07,316.425,
1999-10,346.644,
2000-01,299.380,
2000-04,342.616,
2000-07,349.648,
2000-10,417.591,
2001-01,305.145,
2001-04,346.061,
2001-07,343.540,
2001-10,381.578,
2002-01,340.452,
2002-04,353.885,
2002-07,360.328,
2002-10,374.428,
2003-01,264.767,
2003-04,310.563,
2003-07,330.209,
2003-10,464.230,
2004-01,371.531,
2004-04,432.674,
2004-07,414.921,
2004-10,467.140,
2005-01,431.756,
2005-04,549.873,
2005-07,556.896,
2005-10,612.698,
2006-01,530.823,
2006-04,586.571,
2006-07,559.397,
2006-10,661.472,
2007-01,563.426,
2007-04,673.074,
2007-07,807.061,
2007-10,912.197,
2008-01,928.069,
2008-04,1074.988,
2008-07,977.814,
2008-10,970.736,
2009-01,960.101,
2009-04,1010.210,
2009-07,980.364,
2009-10,963.717,
2010-01,904.631,
2010-04,1097.735,
2010-07,1198.827,
2010-10,1220.674,
2011-01,1044.958,
2011-04,1052.840,
2011-07,1064.570,
2011-10,1175.805,
2012-01,933.416,
2012-04,1006.564,
2012-07,1089.038,
2012-10,1111.084,
2013-01,1037.850,
2013-04,1223.845,
2013-07,1193.533,
2013-10,1275.916,
2014-01,1030.526,Provisional value
2014-04,1031.579,Provisional value
2014-07,1158.279,Provisional value
