"",BBK01.OEHB22P,BBK01.OEHB22P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:41,
2002-01,0.276,
2002-04,0.301,
2002-07,0.263,
2002-10,0.198,
2003-01,0.245,
2003-04,0.342,
2003-07,0.187,
2003-10,0.190,
2004-01,0.259,
2004-04,0.248,
2004-07,0.268,
2004-10,0.304,
2005-01,0.313,
2005-04,0.351,
2005-07,0.453,
2005-10,0.411,
2006-01,0.492,
2006-04,0.508,
2006-07,0.339,
2006-10,0.438,
2007-01,0.330,
2007-04,0.326,
2007-07,0.348,
2007-10,0.334,
2008-01,0.395,
2008-04,0.494,
2008-07,0.400,
2008-10,0.403,
2009-01,0.447,
2009-04,0.444,
2009-07,0.490,
2009-10,0.603,
2010-01,0.654,
2010-04,0.672,
2010-07,0.593,
2010-10,0.614,
2011-01,0.635,
2011-04,0.647,
2011-07,0.619,
2011-10,0.517,
2012-01,0.616,
2012-04,0.519,
2012-07,0.457,
2012-10,0.458,
2013-01,0.511,
2013-04,0.604,
2013-07,0.791,
2013-10,0.719,
2014-01,0.776,
2014-04,0.799,
2014-07,0.775,
