"",BBK01.OECK02U,BBK01.OECK02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:49,
2002-01,0.157,
2002-04,0.163,
2002-07,0.164,
2002-10,0.169,
2003-01,0.169,
2003-04,0.163,
2003-07,0.170,
2003-10,0.164,
2004-01,0.172,
2004-04,0.179,
2004-07,0.175,
2004-10,0.181,
2005-01,0.192,
2005-04,0.194,
2005-07,0.210,
2005-10,0.209,
2006-01,0.207,
2006-04,0.209,
2006-07,0.214,
2006-10,0.212,
2007-01,0.207,
2007-04,0.213,
2007-07,0.211,
2007-10,0.225,
2008-01,0.222,
2008-04,0.220,
2008-07,0.219,
2008-10,0.247,
2009-01,0.257,
2009-04,0.253,
2009-07,0.272,
2009-10,0.288,
2010-01,0.279,
2010-04,0.290,
2010-07,0.301,
2010-10,0.315,
2011-01,0.300,
2011-04,0.304,
2011-07,0.314,
2011-10,0.315,
2012-01,0.307,
2012-04,0.318,
2012-07,0.331,
2012-10,0.342,
2013-01,0.342,
2013-04,0.349,
2013-07,0.360,
2013-10,0.358,
2014-01,0.348,
2014-04,0.360,
2014-07,0.368,
