"",BBK01.QUJ375,BBK01.QUJ375_FLAGS
"",Banks in Germany: Liabilities to non-residents / Slovenia / Euro,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:11:36,
1994-01,0.192,
1994-02,0.200,
1994-03,0.190,
1994-04,0.205,
1994-05,0.227,
1994-06,0.217,
1994-07,0.201,
1994-08,0.230,
1994-09,0.199,
1994-10,0.200,
1994-11,0.184,
1994-12,0.195,
1995-01,0.203,
1995-02,0.192,
1995-03,0.188,
1995-04,0.203,
1995-05,0.172,
1995-06,0.171,
1995-07,0.184,
1995-08,0.185,
1995-09,0.195,
1995-10,0.200,
1995-11,0.193,
1995-12,0.200,
1996-01,0.200,
1996-02,0.212,
1996-03,0.211,
1996-04,0.195,
1996-05,0.198,
1996-06,0.212,
1996-07,0.233,
1996-08,0.213,
1996-09,0.238,
1996-10,0.223,
1996-11,0.228,
1996-12,0.297,
1997-01,0.230,
1997-02,0.203,
1997-03,0.230,
1997-04,0.215,
1997-05,0.197,
1997-06,0.258,
1997-07,0.274,
1997-08,0.299,
1997-09,0.291,
1997-10,0.329,
1997-11,0.369,
1997-12,0.263,
1998-01,0.266,
1998-02,0.279,
1998-03,0.201,
1998-04,0.205,
1998-05,0.204,
1998-06,0.207,
1998-07,0.218,
1998-08,0.212,
1998-09,0.395,
1998-10,0.373,
1998-11,0.374,
1998-12,0.460,
1999-01,0.481,
1999-02,0.426,
1999-03,0.482,
1999-04,0.431,
1999-05,0.573,
1999-06,0.514,
1999-07,0.359,
1999-08,0.306,
1999-09,0.391,
1999-10,0.369,
1999-11,0.450,
1999-12,0.434,
2000-01,0.338,
2000-02,0.345,
2000-03,0.412,
2000-04,0.378,
2000-05,0.483,
2000-06,0.319,
2000-07,0.330,
2000-08,0.429,
2000-09,0.327,
2000-10,0.313,
2000-11,0.291,
2000-12,0.350,
2001-01,0.233,
2001-02,0.465,
2001-03,0.592,
2001-04,0.441,
2001-05,0.424,
2001-06,0.418,
2001-07,0.299,
2001-08,0.457,
2001-09,0.578,
2001-10,0.656,
2001-11,0.582,
2001-12,0.675,
2002-01,0.568,
2002-02,0.484,
2002-03,0.618,
2002-04,0.603,
2002-05,0.633,
2002-06,0.619,
2002-07,0.590,
2002-08,0.600,
2002-09,0.464,
2002-10,0.419,
2002-11,0.675,
2002-12,0.349,
2003-01,0.662,
2003-02,0.624,
2003-03,0.598,
2003-04,0.425,
2003-05,0.175,
2003-06,0.231,
2003-07,0.210,
2003-08,0.353,
2003-09,0.340,
2003-10,0.296,
2003-11,0.701,
2003-12,0.408,
2004-01,0.270,
2004-02,0.194,
2004-03,0.268,
2004-04,0.193,
2004-05,0.247,
2004-06,0.209,
2004-07,0.213,
2004-08,0.277,
2004-09,0.205,
2004-10,0.244,
2004-11,0.249,
2004-12,0.321,
2005-01,0.291,
2005-02,0.309,
2005-03,0.356,
2005-04,0.333,
2005-05,0.301,
2005-06,0.328,
2005-07,0.315,
2005-08,0.289,
2005-09,0.290,
2005-10,0.347,
2005-11,0.290,
2005-12,0.309,
2006-01,0.271,
2006-02,0.295,
2006-03,0.252,
2006-04,0.252,
2006-05,0.309,
2006-06,0.347,
2006-07,0.262,
2006-08,0.278,
2006-09,0.274,
2006-10,0.300,
2006-11,0.290,
2006-12,0.377,
2007-01,0.329,
2007-02,0.398,
2007-03,0.408,
2007-04,0.422,
2007-05,0.340,
2007-06,0.551,
2007-07,0.415,
2007-08,0.478,
2007-09,0.455,
2007-10,0.579,
2007-11,0.572,
2007-12,0.689,
2008-01,0.726,
2008-02,0.809,
2008-03,0.565,
2008-04,0.482,
2008-05,0.499,
2008-06,0.576,
2008-07,0.613,
2008-08,0.612,
2008-09,0.545,
2008-10,0.622,
2008-11,0.611,
2008-12,0.403,
2009-01,0.416,
2009-02,0.417,
2009-03,0.422,
2009-04,0.517,
2009-05,0.605,
2009-06,0.390,
2009-07,0.405,
2009-08,0.272,
2009-09,0.359,
2009-10,0.403,
2009-11,0.390,
2009-12,0.388,
2010-01,0.380,
2010-02,0.286,
2010-03,0.303,
2010-04,0.358,
2010-05,0.436,
2010-06,0.437,
2010-07,0.407,
2010-08,0.420,
2010-09,0.425,
2010-10,0.395,
2010-11,0.548,
2010-12,0.241,
2011-01,0.487,
2011-02,0.217,
2011-03,0.348,
2011-04,0.284,
2011-05,0.273,
2011-06,0.276,
2011-07,0.274,
2011-08,0.302,
2011-09,0.299,
2011-10,0.299,
2011-11,0.211,
2011-12,0.183,
2012-01,0.243,
2012-02,0.196,
2012-03,0.392,
2012-04,0.377,
2012-05,0.352,
2012-06,0.298,
2012-07,0.252,
2012-08,0.296,
2012-09,0.240,
2012-10,0.258,
2012-11,0.222,
2012-12,0.179,
2013-01,0.182,
2013-02,0.186,
2013-03,0.268,
2013-04,0.329,
2013-05,0.299,
2013-06,0.233,
2013-07,0.187,
2013-08,0.204,
2013-09,0.233,
2013-10,0.237,
2013-11,0.284,
2013-12,0.287,
2014-01,0.320,
2014-02,0.331,
2014-03,0.335,
2014-04,0.298,
2014-05,0.321,
2014-06,0.459,
2014-07,0.502,
2014-08,0.527,
2014-09,0.533,
2014-10,0.475,
2014-11,0.507,
2014-12,0.497,
