"",BBK01.OEAC09M,BBK01.OEAC09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:28,
2002-01,49.479,
2002-04,49.961,
2002-07,50.412,
2002-10,50.942,
2003-01,50.974,
2003-04,51.463,
2003-07,51.209,
2003-10,51.122,
2004-01,50.746,
2004-04,51.023,
2004-07,50.547,
2004-10,49.566,
2005-01,48.997,
2005-04,48.532,
2005-07,47.594,
2005-10,47.971,
2006-01,47.762,
2006-04,46.538,
2006-07,45.412,
2006-10,45.154,
2007-01,44.597,
2007-04,44.734,
2007-07,45.235,
2007-10,45.580,
2008-01,45.750,
2008-04,45.843,
2008-07,46.249,
2008-10,47.194,
2009-01,45.477,
2009-04,46.179,
2009-07,45.686,
2009-10,45.444,
2010-01,42.061,
2010-04,42.201,
2010-07,41.961,
2010-10,44.840,
2011-01,44.468,
2011-04,44.896,
2011-07,44.391,
2011-10,44.729,
2012-01,44.449,
2012-04,45.977,
2012-07,46.256,
2012-10,46.452,
2013-01,46.394,
2013-04,46.867,
2013-07,46.752,
2013-10,47.768,
2014-01,47.667,
2014-04,48.213,
2014-07,48.590,
