"",BBK01.OEAH09M,BBK01.OEAH09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:40,
2002-01,0.954,
2002-04,0.970,
2002-07,0.978,
2002-10,1.002,
2003-01,0.984,
2003-04,0.994,
2003-07,1.005,
2003-10,1.004,
2004-01,0.977,
2004-04,0.908,
2004-07,0.826,
2004-10,0.847,
2005-01,0.856,
2005-04,0.935,
2005-07,0.981,
2005-10,1.080,
2006-01,1.319,
2006-04,1.547,
2006-07,1.948,
2006-10,2.506,
2007-01,3.285,
2007-04,3.792,
2007-07,4.335,
2007-10,4.870,
2008-01,5.282,
2008-04,5.597,
2008-07,5.912,
2008-10,6.361,
2009-01,5.930,
2009-04,5.256,
2009-07,4.382,
2009-10,3.533,
2010-01,3.437,
2010-04,3.354,
2010-07,3.293,
2010-10,3.315,
2011-01,3.419,
2011-04,3.490,
2011-07,3.523,
2011-10,3.496,
2012-01,3.110,
2012-04,3.042,
2012-07,2.955,
2012-10,2.803,
2013-01,2.369,
2013-04,2.112,
2013-07,1.805,
2013-10,1.754,
2014-01,1.567,
2014-04,1.432,
2014-07,1.322,
