"",BBK01.OEHM03G,BBK01.OEHM03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:35,
2002-01,1.621,
2002-04,1.556,
2002-07,1.504,
2002-10,1.862,
2003-01,1.595,
2003-04,1.426,
2003-07,1.393,
2003-10,1.461,
2004-01,1.264,
2004-04,1.347,
2004-07,1.393,
2004-10,1.385,
2005-01,1.227,
2005-04,1.178,
2005-07,1.250,
2005-10,1.433,
2006-01,1.367,
2006-04,1.425,
2006-07,1.588,
2006-10,1.797,
2007-01,1.775,
2007-04,2.059,
2007-07,2.370,
2007-10,2.828,
2008-01,2.808,
2008-04,2.957,
2008-07,3.229,
2008-10,3.447,
2009-01,2.422,
2009-04,2.207,
2009-07,1.689,
2009-10,1.579,
2010-01,1.036,
2010-04,1.149,
2010-07,1.115,
2010-10,1.315,
2011-01,1.122,
2011-04,1.482,
2011-07,1.927,
2011-10,2.097,
2012-01,1.918,
2012-04,1.819,
2012-07,2.138,
2012-10,1.791,
2013-01,1.671,
2013-04,1.423,
2013-07,1.395,
2013-10,1.580,
2014-01,1.816,
2014-04,1.688,
2014-07,1.621,
