"",BBK01.OEYB04M,BBK01.OEYB04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:16,
2002-01,88.902,
2002-04,82.549,
2002-07,83.624,
2002-10,84.648,
2003-01,84.852,
2003-04,95.569,
2003-07,96.801,
2003-10,96.353,
2004-01,96.740,
2004-04,95.638,
2004-07,93.767,
2004-10,93.594,
2005-01,92.484,
2005-04,93.853,
2005-07,94.797,
2005-10,94.655,
2006-01,96.069,
2006-04,95.137,
2006-07,87.113,
2006-10,89.560,
2007-01,90.707,
2007-04,91.962,
2007-07,92.233,
2007-10,92.362,
2008-01,91.444,
2008-04,92.334,
2008-07,95.075,
2008-10,96.097,
2009-01,96.769,
2009-04,96.886,
2009-07,97.381,
2009-10,97.846,
2010-01,98.635,
2010-04,97.546,
2010-07,95.473,
2010-10,96.513,
2011-01,94.676,
2011-04,95.342,
2011-07,96.757,
2011-10,97.046,
2012-01,95.861,
2012-04,96.846,
2012-07,96.003,
2012-10,95.133,
2013-01,95.144,
2013-04,93.849,
2013-07,92.146,
2013-10,91.023,
2014-01,90.274,
2014-04,89.592,
2014-07,89.673,
