"",BBK01.OEAA21J,BBK01.OEAA21J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:38,
2002-01,6.196,
2002-04,6.175,
2002-07,6.287,
2002-10,6.497,
2003-01,6.548,
2003-04,6.516,
2003-07,6.524,
2003-10,6.522,
2004-01,6.616,
2004-04,6.737,
2004-07,6.739,
2004-10,6.799,
2005-01,7.113,
2005-04,7.326,
2005-07,7.476,
2005-10,7.801,
2006-01,7.945,
2006-04,7.990,
2006-07,8.164,
2006-10,6.853,
2007-01,6.955,
2007-04,7.171,
2007-07,7.561,
2007-10,7.712,
2008-01,7.833,
2008-04,8.105,
2008-07,8.142,
2008-10,8.186,
2009-01,8.062,
2009-04,8.255,
2009-07,8.285,
2009-10,8.577,
2010-01,8.545,
2010-04,11.888,
2010-07,11.550,
2010-10,11.852,
2011-01,11.715,
2011-04,11.506,
2011-07,11.596,
2011-10,11.781,
2012-01,11.062,
2012-04,11.783,
2012-07,11.746,
2012-10,11.557,
2013-01,11.688,
2013-04,11.677,
2013-07,11.824,
2013-10,11.725,
2014-01,11.745,
2014-04,11.741,
2014-07,11.906,
