"",BBK01.OELL02P,BBK01.OELL02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:48,
2002-01,1.074,
2002-04,1.095,
2002-07,1.048,
2002-10,1.083,
2003-01,1.149,
2003-04,1.189,
2003-07,1.165,
2003-10,1.193,
2004-01,1.213,
2004-04,1.233,
2004-07,1.229,
2004-10,1.260,
2005-01,1.280,
2005-04,1.302,
2005-07,1.319,
2005-10,1.324,
2006-01,1.334,
2006-04,1.312,
2006-07,1.317,
2006-10,1.288,
2007-01,1.287,
2007-04,1.291,
2007-07,1.292,
2007-10,1.312,
2008-01,1.315,
2008-04,1.309,
2008-07,1.270,
2008-10,1.326,
2009-01,1.486,
2009-04,1.618,
2009-07,1.727,
2009-10,1.815,
2010-01,1.942,
2010-04,2.040,
2010-07,2.077,
2010-10,2.145,
2011-01,2.188,
2011-04,2.203,
2011-07,2.232,
2011-10,2.311,
2012-01,2.379,
2012-04,2.480,
2012-07,2.569,
2012-10,2.656,
2013-01,2.710,
2013-04,2.762,
2013-07,2.762,
2013-10,2.848,
2014-01,2.896,
2014-04,2.968,
2014-07,3.016,
