"",BBFB1.Q.N.DE.A7.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:12,
1991-01,10.474,
1991-04,12.236,
1991-07,11.283,
1991-10,15.408,
1992-01,17.277,
1992-04,10.046,
1992-07,14.581,
1992-10,12.716,
1993-01,11.511,
1993-04,18.564,
1993-07,14.304,
1993-10,23.038,
1994-01,20.973,
1994-04,25.185,
1994-07,25.028,
1994-10,15.612,
1995-01,35.926,
1995-04,11.288,
1995-07,12.742,
1995-10,38.162,
1996-01,14.675,
1996-04,10.162,
1996-07,-20.825,
1996-10,52.574,
1997-01,37.191,
1997-04,13.525,
1997-07,10.088,
1997-10,10.766,
1998-01,4.243,
1998-04,22.794,
1998-07,-2.740,
1998-10,11.595,
1999-01,25.820,
1999-04,12.011,
1999-07,12.138,
1999-10,11.513,
2000-01,12.282,
2000-04,10.248,
2000-07,8.700,
2000-10,7.419,
2001-01,5.595,
2001-04,8.206,
2001-07,8.172,
2001-10,9.488,
2002-01,8.935,
2002-04,9.268,
2002-07,8.701,
2002-10,8.649,
2003-01,6.931,
2003-04,10.716,
2003-07,5.909,
2003-10,5.512,
2004-01,6.691,
2004-04,7.685,
2004-07,5.472,
2004-10,6.563,
2005-01,8.135,
2005-04,7.123,
2005-07,7.298,
2005-10,5.892,
2006-01,5.675,
2006-04,9.272,
2006-07,5.609,
2006-10,8.688,
2007-01,8.763,
2007-04,9.909,
2007-07,7.882,
2007-10,1.617,
2008-01,7.943,
2008-04,9.893,
2008-07,5.985,
2008-10,6.613,
2009-01,6.659,
2009-04,9.124,
2009-07,9.533,
2009-10,11.487,
2010-01,7.363,
2010-04,8.067,
2010-07,52.465,
2010-10,9.014,
2011-01,6.964,
2011-04,9.849,
2011-07,11.752,
2011-10,10.078,
2012-01,10.579,
2012-04,13.794,
2012-07,12.953,
2012-10,14.874,
2013-01,9.630,
2013-04,16.698,
2013-07,6.807,
2013-10,8.890,
2014-01,25.859,Provisional value
2014-04,20.847,Provisional value
2014-07,6.325,Provisional value
