"",BBK01.OEXB09U,BBK01.OEXB09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:24,
2002-01,2.451,
2002-04,2.534,
2002-07,2.551,
2002-10,2.582,
2003-01,2.600,
2003-04,2.600,
2003-07,2.604,
2003-10,2.594,
2004-01,2.616,
2004-04,2.595,
2004-07,2.585,
2004-10,2.576,
2005-01,2.550,
2005-04,2.556,
2005-07,2.560,
2005-10,2.590,
2006-01,2.590,
2006-04,2.597,
2006-07,2.623,
2006-10,2.664,
2007-01,2.707,
2007-04,2.856,
2007-07,2.823,
2007-10,2.882,
2008-01,2.925,
2008-04,2.957,
2008-07,2.937,
2008-10,2.952,
2009-01,2.910,
2009-04,2.935,
2009-07,2.949,
2009-10,2.973,
2010-01,2.991,
2010-04,3.068,
2010-07,3.117,
2010-10,3.184,
2011-01,3.214,
2011-04,3.292,
2011-07,3.351,
2011-10,3.368,
2012-01,3.380,
2012-04,3.445,
2012-07,3.441,
2012-10,3.460,
2013-01,3.484,
2013-04,3.523,
2013-07,3.515,
2013-10,3.571,
2014-01,3.546,
2014-04,3.670,
2014-07,3.444,
