"",BBK01.OEAC34M,BBK01.OEAC34M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:15,
2002-01,0.527,
2002-04,0.521,
2002-07,0.502,
2002-10,0.508,
2003-01,0.511,
2003-04,0.521,
2003-07,0.535,
2003-10,0.497,
2004-01,0.490,
2004-04,0.482,
2004-07,0.500,
2004-10,0.462,
2005-01,0.460,
2005-04,0.472,
2005-07,0.490,
2005-10,0.519,
2006-01,0.534,
2006-04,0.581,
2006-07,0.611,
2006-10,0.610,
2007-01,0.648,
2007-04,0.660,
2007-07,0.693,
2007-10,0.717,
2008-01,0.701,
2008-04,0.747,
2008-07,0.769,
2008-10,0.826,
2009-01,1.055,
2009-04,1.128,
2009-07,1.077,
2009-10,1.175,
2010-01,1.323,
2010-04,1.411,
2010-07,1.478,
2010-10,1.433,
2011-01,1.364,
2011-04,1.250,
2011-07,1.237,
2011-10,1.260,
2012-01,1.267,
2012-04,1.277,
2012-07,1.299,
2012-10,1.366,
2013-01,1.303,
2013-04,1.440,
2013-07,1.439,
2013-10,1.536,
2014-01,1.451,
2014-04,1.394,
2014-07,1.443,
