"",BBK01.OEAA08I,BBK01.OEAA08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:08,
2002-01,0.595,
2002-04,0.543,
2002-07,0.492,
2002-10,0.428,
2003-01,0.425,
2003-04,0.413,
2003-07,0.461,
2003-10,0.494,
2004-01,0.485,
2004-04,0.546,
2004-07,0.543,
2004-10,0.558,
2005-01,0.557,
2005-04,0.663,
2005-07,0.645,
2005-10,0.638,
2006-01,0.559,
2006-04,0.879,
2006-07,0.900,
2006-10,0.854,
2007-01,0.846,
2007-04,0.775,
2007-07,0.704,
2007-10,0.687,
2008-01,0.584,
2008-04,0.519,
2008-07,0.512,
2008-10,0.490,
2009-01,0.378,
2009-04,0.361,
2009-07,0.357,
2009-10,0.354,
2010-01,0.355,
2010-04,0.333,
2010-07,0.310,
2010-10,0.310,
2011-01,0.288,
2011-04,0.191,
2011-07,0.191,
2011-10,0.173,
2012-01,0.154,
2012-04,0.149,
2012-07,0.148,
2012-10,0.150,
2013-01,0.149,
2013-04,0.162,
2013-07,0.164,
2013-10,0.170,
2014-01,0.170,
2014-04,0.174,
2014-07,0.180,
