"",BBSF2.M.1.S.I0122.AKT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.AKT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:28,
2009-09,2,
2009-10,4,
2009-11,60,
2009-12,24,
2010-01,-,Nothing exists
2010-02,64,
2010-03,178,
2010-04,5,
2010-05,-,Nothing exists
2010-06,0,
2010-07,-,Nothing exists
2010-08,58,
2010-09,0,
2010-10,1,
2010-11,20,
2010-12,12,
2011-01,20,
2011-02,-,Nothing exists
2011-03,0,
2011-04,50,
2011-05,-,Nothing exists
2011-06,2,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,-,Nothing exists
2011-10,-,Nothing exists
2011-11,0,
2011-12,0,
2012-01,-,Nothing exists
2012-02,13,
2012-03,0,
2012-04,76,
2012-05,-,Nothing exists
2012-06,1,
2012-07,-,Nothing exists
2012-08,-,Nothing exists
2012-09,0,
2012-10,0,
2012-11,105,
2012-12,95,
2013-01,145,
2013-02,54,
2013-03,0,
2013-04,115,
2013-05,228,
2013-06,2,
2013-07,15,
2013-08,-,Nothing exists
2013-09,1,
2013-10,0,
2013-11,0,
2013-12,1,
2014-01,2,
2014-02,2,
2014-03,402,
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,52,
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,2,
2014-10,0,
2014-11,-,Nothing exists
