"",BBK01.OEAD30L,BBK01.OEAD30L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:02,
2002-01,0.182,
2002-04,0.175,
2002-07,0.185,
2002-10,0.179,
2003-01,0.213,
2003-04,0.233,
2003-07,0.235,
2003-10,0.250,
2004-01,0.268,
2004-04,0.202,
2004-07,0.223,
2004-10,0.174,
2005-01,0.195,
2005-04,0.199,
2005-07,0.266,
2005-10,0.285,
2006-01,0.277,
2006-04,0.264,
2006-07,0.253,
2006-10,0.236,
2007-01,0.235,
2007-04,0.221,
2007-07,0.245,
2007-10,0.253,
2008-01,0.257,
2008-04,0.241,
2008-07,0.250,
2008-10,0.149,
2009-01,0.145,
2009-04,0.167,
2009-07,0.175,
2009-10,0.224,
2010-01,0.219,
2010-04,0.211,
2010-07,0.212,
2010-10,0.223,
2011-01,0.220,
2011-04,0.200,
2011-07,0.170,
2011-10,0.145,
2012-01,0.172,
2012-04,0.180,
2012-07,0.193,
2012-10,0.206,
2013-01,0.215,
2013-04,0.209,
2013-07,0.259,
2013-10,0.245,
2014-01,0.250,
2014-04,0.261,
2014-07,0.269,
