"",BBK01.OECO01V,BBK01.OECO01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:14,
2002-01,1.159,
2002-04,1.130,
2002-07,0.789,
2002-10,0.789,
2003-01,0.859,
2003-04,0.868,
2003-07,0.839,
2003-10,0.891,
2004-01,0.890,
2004-04,1.310,
2004-07,1.303,
2004-10,1.393,
2005-01,2.867,
2005-04,2.878,
2005-07,2.841,
2005-10,2.796,
2006-01,2.732,
2006-04,2.664,
2006-07,2.607,
2006-10,2.538,
2007-01,2.502,
2007-04,2.511,
2007-07,2.459,
2007-10,2.378,
2008-01,2.395,
2008-04,2.353,
2008-07,2.374,
2008-10,2.308,
2009-01,2.325,
2009-04,2.385,
2009-07,2.430,
2009-10,2.494,
2010-01,2.548,
2010-04,2.623,
2010-07,2.556,
2010-10,2.572,
2011-01,2.587,
2011-04,2.532,
2011-07,2.484,
2011-10,2.479,
2012-01,2.479,
2012-04,2.700,
2012-07,2.660,
2012-10,2.689,
2013-01,2.769,
2013-04,2.731,
2013-07,2.699,
2013-10,2.663,
2014-01,2.687,
2014-04,2.670,
2014-07,2.644,
