"",BBFB1.Q.N.DE.B2.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:34,
1991-01,10017.472,
1991-04,11010.557,
1991-07,13289.241,
1991-10,10189.811,
1992-01,10987.789,
1992-04,12090.011,
1992-07,14141.759,
1992-10,11400.615,
1993-01,10794.721,
1993-04,12376.057,
1993-07,14492.593,
1993-10,11203.362,
1994-01,11308.745,
1994-04,12887.540,
1994-07,15484.748,
1994-10,11836.346,
1995-01,12589.278,
1995-04,13332.535,
1995-07,15911.463,
1995-10,12422.463,
1996-01,12372.261,
1996-04,13956.328,
1996-07,16721.164,
1996-10,13142.272,
1997-01,13210.300,
1997-04,14802.012,
1997-07,17908.713,
1997-10,14310.202,
1998-01,13791.572,
1998-04,15759.970,
1998-07,18882.097,
1998-10,15317.652,
1999-01,14792.665,
1999-04,17809.094,
1999-07,21226.642,
1999-10,18118.999,
2000-01,17165.834,
2000-04,19416.562,
2000-07,22967.991,
2000-10,20097.968,
2001-01,19440.897,
2001-04,21021.550,
2001-07,23968.179,
2001-10,19817.278,
2002-01,19381.577,
2002-04,20607.311,
2002-07,23894.839,
2002-10,19634.928,
2003-01,18450.919,
2003-04,20666.926,
2003-07,25128.278,
2003-10,19392.879,
2004-01,18977.666,
2004-04,21189.871,
2004-07,23689.484,
2004-10,19838.360,
2005-01,18288.018,
2005-04,20218.164,
2005-07,24618.874,
2005-10,20121.580,
2006-01,19632.449,
2006-04,21616.050,
2006-07,25035.128,
2006-10,20781.360,
2007-01,20888.848,
2007-04,22517.995,
2007-07,27130.328,
2007-10,22528.816,
2008-01,21257.437,
2008-04,23802.901,
2008-07,27955.890,
2008-10,23134.610,
2009-01,20116.700,
2009-04,21835.365,
2009-07,25899.256,
2009-10,21771.992,
2010-01,20383.304,
2010-04,24003.024,
2010-07,28131.883,
2010-10,24089.656,
2011-01,22994.911,
2011-04,25492.300,
2011-07,29698.018,
2011-10,25135.780,
2012-01,23644.549,
2012-04,26184.342,
2012-07,31136.645,
2012-10,25816.152,
2013-01,26194.365,
2013-04,29030.677,
2013-07,33800.582,
2013-10,28570.560,
2014-01,26249.959,Provisional value
2014-04,29035.807,Provisional value
2014-07,34964.259,Provisional value
