"",BBK01.OECB13K,BBK01.OECB13K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:21,
2002-01,1.680,
2002-04,1.584,
2002-07,1.576,
2002-10,1.479,
2003-01,1.442,
2003-04,1.349,
2003-07,1.309,
2003-10,1.347,
2004-01,1.282,
2004-04,1.219,
2004-07,1.219,
2004-10,2.453,
2005-01,1.888,
2005-04,1.933,
2005-07,1.835,
2005-10,1.798,
2006-01,1.707,
2006-04,1.608,
2006-07,1.575,
2006-10,1.545,
2007-01,1.500,
2007-04,1.502,
2007-07,1.463,
2007-10,1.519,
2008-01,1.453,
2008-04,1.431,
2008-07,1.419,
2008-10,1.399,
2009-01,1.370,
2009-04,2.450,
2009-07,2.322,
2009-10,2.303,
2010-01,2.251,
2010-04,2.220,
2010-07,2.030,
2010-10,1.909,
2011-01,2.043,
2011-04,2.000,
2011-07,1.997,
2011-10,1.903,
2012-01,1.858,
2012-04,1.874,
2012-07,1.845,
2012-10,1.825,
2013-01,1.818,
2013-04,1.809,
2013-07,1.883,
2013-10,1.899,
2014-01,1.883,
2014-04,1.884,
2014-07,1.878,
