"",BBK01.OEAA56K,BBK01.OEAA56K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:15,
2002-01,0.688,
2002-04,0.614,
2002-07,0.749,
2002-10,0.700,
2003-01,0.605,
2003-04,0.505,
2003-07,0.499,
2003-10,0.477,
2004-01,0.469,
2004-04,0.482,
2004-07,0.382,
2004-10,0.421,
2005-01,0.386,
2005-04,0.412,
2005-07,0.432,
2005-10,0.376,
2006-01,0.349,
2006-04,0.304,
2006-07,0.302,
2006-10,0.254,
2007-01,0.234,
2007-04,0.243,
2007-07,0.231,
2007-10,0.259,
2008-01,0.271,
2008-04,0.299,
2008-07,0.334,
2008-10,0.455,
2009-01,0.486,
2009-04,0.390,
2009-07,0.318,
2009-10,0.298,
2010-01,0.274,
2010-04,0.264,
2010-07,0.251,
2010-10,0.241,
2011-01,0.236,
2011-04,0.185,
2011-07,0.152,
2011-10,0.169,
2012-01,0.150,
2012-04,0.112,
2012-07,0.189,
2012-10,0.236,
2013-01,0.178,
2013-04,0.143,
2013-07,0.141,
2013-10,0.212,
2014-01,0.212,
2014-04,0.244,
2014-07,0.299,
