"",BBFB1.M.N.DE.W1.S13.S1.T.L.FA.O.F4.L._T.N.N,BBFB1.M.N.DE.W1.S13.S1.T.L.FA.O.F4.L._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Loans / General government / Long-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:07,
1991-01,923.471,
1991-02,-563.299,
1991-03,-505.029,
1991-04,-484.240,
1991-05,-125.241,
1991-06,-13.787,
1991-07,325.523,
1991-08,-155.627,
1991-09,626.932,
1991-10,-245.301,
1991-11,71.959,
1991-12,-63.537,
1992-01,-273.520,
1992-02,-158.417,
1992-03,-235.626,
1992-04,-416.508,
1992-05,-190.091,
1992-06,-178.646,
1992-07,-202.041,
1992-08,-168.774,
1992-09,48.212,
1992-10,62.968,
1992-11,166.088,
1992-12,121.993,
1993-01,-186.651,
1993-02,255.827,
1993-03,-1264.873,
1993-04,-666.567,
1993-05,-561.956,
1993-06,1518.053,
1993-07,1720.588,
1993-08,98.881,
1993-09,64.342,
1993-10,285.665,
1993-11,133.517,
1993-12,416.696,
1994-01,344.910,
1994-02,-385.948,
1994-03,-438.999,
1994-04,-89.335,
1994-05,11.135,
1994-06,-8.684,
1994-07,-341.963,
1994-08,-297.271,
1994-09,-604.451,
1994-10,-79.547,
1994-11,60.331,
1994-12,1016.243,
1995-01,137.901,
1995-02,52.618,
1995-03,-111.600,
1995-04,-22.667,
1995-05,-267.564,
1995-06,-1113.399,
1995-07,195.136,
1995-08,-179.493,
1995-09,-15.105,
1995-10,-428.980,
1995-11,205.220,
1995-12,2723.129,
1996-01,-761.993,
1996-02,-530.485,
1996-03,-385.921,
1996-04,90.036,
1996-05,-67.539,
1996-06,135.592,
1996-07,117.535,
1996-08,759.575,
1996-09,15.341,
1996-10,544.269,
1996-11,559.723,
1996-12,654.257,
1997-01,-799.686,
1997-02,-871.724,
1997-03,-219.375,
1997-04,102.986,
1997-05,157.260,
1997-06,-771.422,
1997-07,-1308.112,
1997-08,-136.183,
1997-09,146.518,
1997-10,-170.920,
1997-11,339.829,
1997-12,-227.550,
1998-01,408.643,
1998-02,73.649,
1998-03,-795.202,
1998-04,-91.025,
1998-05,-512.278,
1998-06,-18.547,
1998-07,-156.720,
1998-08,-152.337,
1998-09,-150.989,
1998-10,37.122,
1998-11,259.854,
1998-12,-3135.578,
1999-01,-1041.514,
1999-02,-900.234,
1999-03,-590.368,
1999-04,-32.196,
1999-05,-91.690,
1999-06,-982.726,
1999-07,-451.685,
1999-08,-551.973,
1999-09,-711.514,
1999-10,-306.772,
1999-11,-2888.413,
1999-12,243.276,
2000-01,-10.141,
