"",BBK01.OEAF21N,BBK01.OEAF21N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:46,
2002-01,14.611,
2002-04,14.472,
2002-07,14.829,
2002-10,14.342,
2003-01,14.523,
2003-04,14.956,
2003-07,15.281,
2003-10,15.847,
2004-01,15.508,
2004-04,15.600,
2004-07,16.487,
2004-10,15.764,
2005-01,15.475,
2005-04,15.699,
2005-07,15.061,
2005-10,15.318,
2006-01,14.272,
2006-04,14.254,
2006-07,14.258,
2006-10,14.123,
2007-01,13.773,
2007-04,13.883,
2007-07,13.829,
2007-10,13.859,
2008-01,13.766,
2008-04,13.938,
2008-07,13.500,
2008-10,13.646,
2009-01,13.342,
2009-04,13.842,
2009-07,14.065,
2009-10,14.075,
2010-01,13.989,
2010-04,13.937,
2010-07,14.181,
2010-10,14.272,
2011-01,14.305,
2011-04,14.421,
2011-07,14.626,
2011-10,14.200,
2012-01,14.043,
2012-04,13.692,
2012-07,13.724,
2012-10,13.707,
2013-01,13.800,
2013-04,13.825,
2013-07,13.841,
2013-10,13.768,
2014-01,13.554,
2014-04,13.750,
2014-07,13.913,
