"",BBK01.OELB10L,BBK01.OELB10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:57,
2002-01,2.210,
2002-04,2.235,
2002-07,2.104,
2002-10,2.011,
2003-01,2.012,
2003-04,1.915,
2003-07,1.898,
2003-10,1.761,
2004-01,1.732,
2004-04,1.669,
2004-07,1.615,
2004-10,1.484,
2005-01,1.547,
2005-04,1.434,
2005-07,1.415,
2005-10,1.321,
2006-01,1.398,
2006-04,1.349,
2006-07,1.397,
2006-10,1.198,
2007-01,1.297,
2007-04,1.268,
2007-07,1.289,
2007-10,1.238,
2008-01,1.399,
2008-04,1.292,
2008-07,1.365,
2008-10,1.336,
2009-01,1.395,
2009-04,1.327,
2009-07,1.330,
2009-10,1.234,
2010-01,1.239,
2010-04,1.194,
2010-07,1.137,
2010-10,1.033,
2011-01,1.123,
2011-04,1.132,
2011-07,1.132,
2011-10,1.089,
2012-01,1.194,
2012-04,1.248,
2012-07,1.299,
2012-10,1.163,
2013-01,1.290,
2013-04,1.217,
2013-07,1.200,
2013-10,1.200,
2014-01,1.257,
2014-04,1.250,
2014-07,1.268,
