"",BBK01.OEAH09O,BBK01.OEAH09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:50,
2002-01,1.331,
2002-04,1.314,
2002-07,1.323,
2002-10,1.364,
2003-01,1.270,
2003-04,1.194,
2003-07,1.164,
2003-10,1.207,
2004-01,1.098,
2004-04,1.028,
2004-07,1.000,
2004-10,1.133,
2005-01,1.174,
2005-04,1.182,
2005-07,1.160,
2005-10,1.250,
2006-01,1.384,
2006-04,1.600,
2006-07,1.827,
2006-10,2.099,
2007-01,2.694,
2007-04,3.276,
2007-07,3.928,
2007-10,4.587,
2008-01,5.021,
2008-04,5.414,
2008-07,5.789,
2008-10,6.303,
2009-01,5.673,
2009-04,4.468,
2009-07,3.557,
2009-10,2.951,
2010-01,2.408,
2010-04,2.164,
2010-07,2.020,
2010-10,2.156,
2011-01,2.147,
2011-04,2.288,
2011-07,2.379,
2011-10,2.558,
2012-01,2.621,
2012-04,2.527,
2012-07,2.343,
2012-10,2.341,
2013-01,1.813,
2013-04,1.573,
2013-07,1.450,
2013-10,1.520,
2014-01,1.280,
2014-04,1.221,
2014-07,1.192,
