"",BBFB1.Q.N.DE.AT.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:20,
1991-01,12.143,
1991-04,16.998,
1991-07,21.942,
1991-10,18.052,
1992-01,64.310,
1992-04,64.497,
1992-07,39.822,
1992-10,23.146,
1993-01,14.070,
1993-04,31.613,
1993-07,23.548,
1993-10,13.968,
1994-01,68.385,
1994-04,71.865,
1994-07,74.243,
1994-10,54.555,
1995-01,11.765,
1995-04,-1.227,
1995-07,8.124,
1995-10,-12.421,
1996-01,-32.526,
1996-04,-57.495,
1996-07,-32.438,
1996-10,-36.504,
1997-01,61.280,
1997-04,37.891,
1997-07,68.614,
1997-10,71.719,
1998-01,99.198,
1998-04,76.550,
1998-07,90.831,
1998-10,78.669,
1999-01,196.241,
1999-04,185.263,
1999-07,177.152,
1999-10,179.220,
2000-01,160.417,
2000-04,161.611,
2000-07,157.829,
2000-10,156.112,
2001-01,182.433,
2001-04,84.662,
2001-07,237.997,
2001-10,-356.880,
2002-01,-10.940,
2002-04,108.997,
2002-07,114.375,
2002-10,-275.054,
2003-01,-4.757,
2003-04,137.535,
2003-07,41.384,
2003-10,80.911,
2004-01,323.315,
2004-04,124.465,
2004-07,342.426,
2004-10,57.297,
2005-01,272.796,
2005-04,185.984,
2005-07,485.711,
2005-10,272.149,
2006-01,588.271,
2006-04,525.450,
2006-07,1077.701,
2006-10,674.078,
2007-01,579.474,
2007-04,569.304,
2007-07,512.071,
2007-10,260.772,
2008-01,565.216,
2008-04,-71.122,
2008-07,-40.444,
2008-10,239.992,
2009-01,260.402,
2009-04,15.811,
2009-07,364.236,
2009-10,120.122,
2010-01,36.873,
2010-04,-98.240,
2010-07,230.876,
2010-10,72.501,
2011-01,490.340,
2011-04,157.846,
2011-07,477.934,
2011-10,-514.889,
2012-01,410.915,
2012-04,158.208,
2012-07,271.169,
2012-10,297.298,
2013-01,308.837,
2013-04,440.404,
2013-07,681.749,
2013-10,227.127,
2014-01,682.364,Provisional value
2014-04,354.116,Provisional value
2014-07,609.695,Provisional value
2014-10,448.210,Provisional value
