"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.BE.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.BE.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Belgium / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:54,
2009-09,350,
2009-10,344,
2009-11,352,
2009-12,358,
2010-01,364,
2010-02,349,
2010-03,332,
2010-04,331,
2010-05,295,
2010-06,291,
2010-07,288,
2010-08,290,
2010-09,304,
2010-10,290,
2010-11,274,
2010-12,274,
2011-01,270,
2011-02,281,
2011-03,304,
2011-04,300,
2011-05,321,
2011-06,311,
2011-07,334,
2011-08,307,
2011-09,259,
2011-10,279,
2011-11,248,
2011-12,243,
2012-01,252,
2012-02,243,
2012-03,253,
2012-04,250,
2012-05,235,
2012-06,240,
2012-07,246,
2012-08,247,
2012-09,263,
2012-10,255,
2012-11,534,
2012-12,800,
2013-01,1060,
2013-02,1143,
2013-03,1187,
2013-04,1247,
2013-05,1521,
2013-06,1464,
2013-07,1448,
2013-08,1580,
2013-09,1656,
2013-10,1693,
2013-11,1676,
2013-12,1914,
2014-01,2042,
2014-02,2108,
2014-03,2151,
2014-04,2128,
2014-05,2183,
2014-06,2230,
2014-07,2260,
2014-08,2308,
2014-09,2377,
2014-10,2428,
2014-11,2453,
