"",BBK01.OEAH44J,BBK01.OEAH44J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:10,
2002-01,0.543,
2002-04,0.554,
2002-07,0.543,
2002-10,0.568,
2003-01,0.541,
2003-04,0.554,
2003-07,0.548,
2003-10,0.600,
2004-01,0.560,
2004-04,0.566,
2004-07,0.697,
2004-10,0.605,
2005-01,0.577,
2005-04,0.615,
2005-07,0.596,
2005-10,0.620,
2006-01,0.604,
2006-04,0.590,
2006-07,0.602,
2006-10,0.622,
2007-01,0.630,
2007-04,0.685,
2007-07,0.640,
2007-10,0.646,
2008-01,0.589,
2008-04,0.626,
2008-07,0.589,
2008-10,0.649,
2009-01,0.767,
2009-04,0.794,
2009-07,0.891,
2009-10,0.921,
2010-01,0.934,
2010-04,0.933,
2010-07,0.900,
2010-10,0.950,
2011-01,0.929,
2011-04,0.914,
2011-07,0.937,
2011-10,0.988,
2012-01,1.034,
2012-04,1.118,
2012-07,1.143,
2012-10,1.197,
2013-01,1.247,
2013-04,1.284,
2013-07,1.313,
2013-10,1.334,
2014-01,1.371,
2014-04,1.384,
2014-07,1.451,
