"",BBFN1.M.DE.N.1.A.SK.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SK.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Slovak Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:36,
1994-07,0.148,
1994-08,0.162,
1994-09,0.168,
1994-10,0.183,
1994-11,0.185,
1994-12,0.188,
1995-01,0.177,
1995-02,0.191,
1995-03,0.201,
1995-04,0.203,
1995-05,0.215,
1995-06,0.252,
1995-07,0.231,
1995-08,0.243,
1995-09,0.256,
1995-10,0.236,
1995-11,0.297,
1995-12,0.264,
1996-01,0.289,
1996-02,0.271,
1996-03,0.270,
1996-04,0.311,
1996-05,0.303,
1996-06,0.301,
1996-07,0.290,
1996-08,0.286,
1996-09,0.293,
1996-10,0.320,
1996-11,0.356,
1996-12,0.354,
1997-01,0.351,
1997-02,0.369,
1997-03,0.349,
1997-04,0.368,
1997-05,0.383,
1997-06,0.393,
1997-07,0.387,
1997-08,0.397,
1997-09,0.370,
1997-10,0.404,
1997-11,0.437,
1997-12,0.381,
1998-01,0.355,
1998-02,0.405,
1998-03,0.456,
1998-04,0.444,
1998-05,0.473,
1998-06,0.490,
1998-07,0.497,
1998-08,0.480,
1998-09,0.416,
1998-10,0.415,
1998-11,0.518,
1998-12,0.475,
1999-01,0.460,
1999-02,0.447,
1999-03,0.484,
1999-04,0.488,
1999-05,0.456,
1999-06,0.485,
1999-07,0.428,
1999-08,0.464,
1999-09,0.453,
1999-10,0.462,
1999-11,0.474,
1999-12,0.411,
2000-01,0.373,
2000-02,0.484,
2000-03,0.435,
2000-04,0.419,
2000-05,0.435,
2000-06,0.542,
2000-07,0.591,
2000-08,0.524,
2000-09,0.519,
2000-10,0.574,
2000-11,0.578,
2000-12,0.524,
2001-01,0.539,
2001-02,0.589,
2001-03,0.706,
2001-04,0.671,
2001-05,0.675,
2001-06,0.695,
2001-07,0.695,
2001-08,0.661,
2001-09,0.606,
2001-10,0.610,
2001-11,0.596,
2001-12,0.534,
2002-01,0.515,
2002-02,0.562,
2002-03,0.563,
2002-04,0.587,
2002-05,0.599,
2002-06,0.622,
2002-07,0.620,
2002-08,0.621,
2002-09,0.632,
2002-10,0.668,
2002-11,0.688,
2002-12,0.665,
2003-01,0.612,
2003-02,0.635,
2003-03,0.679,
2003-04,0.694,
2003-05,0.693,
2003-06,0.693,
2003-07,0.736,
2003-08,0.740,
2003-09,0.765,
2003-10,0.817,
2003-11,0.816,
2003-12,0.678,
2004-01,0.632,
2004-02,0.614,
2004-03,0.691,
2004-04,0.695,
2004-05,0.702,
2004-06,0.664,
2004-07,0.577,
2004-08,0.575,
2004-09,0.564,
2004-10,0.578,
2004-11,0.578,
2004-12,0.502,
2005-01,0.544,
2005-02,0.558,
2005-03,0.579,
2005-04,0.604,
2005-05,0.602,
2005-06,0.622,
2005-07,0.617,
2005-08,0.599,
2005-09,0.638,
2005-10,0.631,
2005-11,0.674,
2005-12,0.615,
2006-01,0.598,
2006-02,0.621,
2006-03,0.689,
2006-04,0.693,
2006-05,0.754,
2006-06,0.771,
2006-07,0.796,
2006-08,0.782,
2006-09,0.868,
2006-10,0.869,
2006-11,0.883,
2006-12,0.771,
2007-01,0.791,
2007-02,0.839,
2007-03,0.919,
2007-04,0.939,
2007-05,0.984,
2007-06,0.945,
2007-07,0.889,
2007-08,0.924,
2007-09,0.942,
2007-10,0.999,
2007-11,1.032,
2007-12,0.926,
2008-01,0.958,
2008-02,1.066,
2008-03,1.047,
2008-04,1.077,
2008-05,1.063,
2008-06,1.193,
2008-07,1.281,
2008-08,1.214,
2008-09,1.343,
2008-10,1.328,
2008-11,1.282,
2008-12,1.145,
2009-01,1.047,
2009-02,1.023,
2009-03,1.023,
2009-04,0.950,
2009-05,0.925,
2009-06,0.919,
2009-07,0.896,
2009-08,0.920,
2009-09,0.946,
2009-10,1.037,
2009-11,1.055,
2009-12,0.957,
2010-01,0.884,
2010-02,0.996,
2010-03,1.086,
2010-04,1.070,
2010-05,1.171,
2010-06,1.142,
2010-07,1.017,
2010-08,1.042,
2010-09,1.005,
2010-10,0.985,
2010-11,1.080,
2010-12,0.991,
2011-01,0.963,
2011-02,1.006,
2011-03,0.944,
2011-04,0.945,
2011-05,0.990,
2011-06,0.929,
2011-07,0.862,
2011-08,0.920,
2011-09,0.966,
2011-10,0.926,
2011-11,1.044,
2011-12,0.963,
2012-01,0.896,
2012-02,0.995,
2012-03,1.040,
2012-04,1.010,
2012-05,0.998,
2012-06,0.980,
2012-07,0.948,
2012-08,0.928,
2012-09,1.042,
2012-10,1.134,
2012-11,1.122,
2012-12,1.127,
2013-01,0.988,
2013-02,1.011,
2013-03,0.982,
2013-04,0.937,
2013-05,0.941,
2013-06,0.915,
2013-07,0.840,
2013-08,0.909,
2013-09,1.004,
2013-10,1.068,
2013-11,1.057,
2013-12,0.898,
2014-01,0.905,
2014-02,0.989,
2014-03,1.017,
2014-04,0.976,
2014-05,1.028,
2014-06,1.050,
2014-07,0.935,
2014-08,0.949,
2014-09,1.055,
2014-10,1.070,
2014-11,1.239,
2014-12,0.997,
