"",BBK01.OEYB07P,BBK01.OEYB07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:55,
2002-01,0.295,
2002-04,0.301,
2002-07,0.301,
2002-10,0.284,
2003-01,0.265,
2003-04,0.273,
2003-07,0.286,
2003-10,0.303,
2004-01,0.311,
2004-04,0.359,
2004-07,0.344,
2004-10,0.400,
2005-01,0.427,
2005-04,0.476,
2005-07,0.416,
2005-10,0.406,
2006-01,0.432,
2006-04,0.430,
2006-07,0.452,
2006-10,0.480,
2007-01,0.483,
2007-04,0.466,
2007-07,0.465,
2007-10,0.488,
2008-01,0.498,
2008-04,0.485,
2008-07,0.510,
2008-10,0.485,
2009-01,0.472,
2009-04,0.466,
2009-07,0.512,
2009-10,0.490,
2010-01,0.495,
2010-04,0.255,
2010-07,0.283,
2010-10,0.303,
2011-01,0.308,
2011-04,0.357,
2011-07,0.452,
2011-10,0.467,
2012-01,0.501,
2012-04,0.589,
2012-07,0.545,
2012-10,0.596,
2013-01,0.584,
2013-04,0.583,
2013-07,0.590,
2013-10,0.578,
2014-01,0.553,
2014-04,0.554,
2014-07,0.572,
