"",BBK01.OECB08U,BBK01.OECB08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:13,
2002-01,3.203,
2002-04,3.160,
2002-07,3.105,
2002-10,3.083,
2003-01,2.983,
2003-04,2.946,
2003-07,2.879,
2003-10,2.867,
2004-01,2.856,
2004-04,2.876,
2004-07,2.868,
2004-10,2.727,
2005-01,3.303,
2005-04,3.215,
2005-07,3.170,
2005-10,3.105,
2006-01,3.091,
2006-04,3.064,
2006-07,3.070,
2006-10,3.036,
2007-01,2.991,
2007-04,3.016,
2007-07,2.987,
2007-10,3.003,
2008-01,2.989,
2008-04,2.987,
2008-07,2.979,
2008-10,2.946,
2009-01,2.934,
2009-04,3.767,
2009-07,3.733,
2009-10,3.674,
2010-01,3.643,
2010-04,3.606,
2010-07,3.614,
2010-10,3.522,
2011-01,3.545,
2011-04,3.504,
2011-07,3.461,
2011-10,3.374,
2012-01,3.350,
2012-04,3.357,
2012-07,3.323,
2012-10,3.303,
2013-01,3.300,
2013-04,3.292,
2013-07,3.432,
2013-10,3.453,
2014-01,3.418,
2014-04,3.375,
2014-07,3.432,
