"",BBFN1.M.DE.N.1.A.TW.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TW.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"","Claims of enterprises on non-residents / Total / China, Taiwan",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:12,
1994-12,0.761,
1995-01,0.789,
1995-02,0.839,
1995-03,0.922,
1995-04,0.945,
1995-05,0.935,
1995-06,0.759,
1995-07,1.082,
1995-08,0.992,
1995-09,0.742,
1995-10,0.684,
1995-11,0.663,
1995-12,0.765,
1996-01,0.803,
1996-02,0.772,
1996-03,0.751,
1996-04,0.745,
1996-05,0.775,
1996-06,0.911,
1996-07,0.923,
1996-08,0.853,
1996-09,0.855,
1996-10,0.964,
1996-11,0.886,
1996-12,0.830,
1997-01,0.796,
1997-02,0.841,
1997-03,0.923,
1997-04,0.962,
1997-05,0.977,
1997-06,1.183,
1997-07,1.039,
1997-08,1.063,
1997-09,1.166,
1997-10,1.142,
1997-11,1.181,
1997-12,1.828,
1998-01,1.185,
1998-02,1.244,
1998-03,1.235,
1998-04,1.324,
1998-05,1.302,
1998-06,1.258,
1998-07,1.246,
1998-08,1.201,
1998-09,1.197,
1998-10,1.217,
1998-11,1.143,
1998-12,1.194,
1999-01,1.183,
1999-02,1.267,
1999-03,1.201,
1999-04,1.276,
1999-05,1.118,
1999-06,1.226,
1999-07,1.164,
1999-08,1.190,
1999-09,1.311,
1999-10,1.236,
1999-11,1.304,
1999-12,1.293,
2000-01,1.235,
2000-02,1.293,
2000-03,1.249,
2000-04,1.303,
2000-05,1.306,
2000-06,1.381,
2000-07,1.402,
2000-08,1.415,
2000-09,1.456,
2000-10,1.411,
2000-11,1.310,
2000-12,1.130,
2001-01,1.138,
2001-02,1.130,
2001-03,1.140,
2001-04,1.108,
2001-05,1.062,
2001-06,1.072,
2001-07,0.972,
2001-08,1.019,
2001-09,1.125,
2001-10,1.089,
2001-11,1.069,
2001-12,1.075,
2002-01,0.998,
2002-02,0.995,
2002-03,1.073,
2002-04,1.177,
2002-05,1.121,
2002-06,1.118,
2002-07,1.030,
2002-08,1.069,
2002-09,1.104,
2002-10,1.041,
2002-11,1.045,
2002-12,1.081,
2003-01,1.114,
2003-02,0.951,
2003-03,0.917,
2003-04,0.905,
2003-05,0.822,
2003-06,0.806,
2003-07,0.978,
2003-08,1.114,
2003-09,1.023,
2003-10,0.944,
2003-11,0.945,
2003-12,0.704,
2004-01,0.768,
2004-02,0.803,
2004-03,0.804,
2004-04,0.775,
2004-05,0.797,
2004-06,0.750,
2004-07,0.768,
2004-08,0.744,
2004-09,0.842,
2004-10,0.828,
2004-11,0.764,
2004-12,0.784,
2005-01,0.810,
2005-02,0.778,
2005-03,0.790,
2005-04,0.899,
2005-05,0.887,
2005-06,0.854,
2005-07,0.934,
2005-08,0.942,
2005-09,0.973,
2005-10,0.967,
2005-11,0.968,
2005-12,0.884,
2006-01,0.913,
2006-02,0.909,
2006-03,0.872,
2006-04,0.883,
2006-05,0.962,
2006-06,0.967,
2006-07,0.893,
2006-08,0.975,
2006-09,1.013,
2006-10,0.978,
2006-11,0.974,
2006-12,0.917,
2007-01,0.894,
2007-02,0.934,
2007-03,0.873,
2007-04,0.985,
2007-05,0.978,
2007-06,1.032,
2007-07,1.005,
2007-08,1.014,
2007-09,1.092,
2007-10,1.113,
2007-11,1.120,
2007-12,1.055,
2008-01,1.034,
2008-02,0.990,
2008-03,0.943,
2008-04,0.945,
2008-05,0.917,
2008-06,0.960,
2008-07,0.992,
2008-08,0.931,
2008-09,0.969,
2008-10,0.921,
2008-11,0.818,
2008-12,0.798,
2009-01,0.723,
2009-02,0.622,
2009-03,0.634,
2009-04,0.635,
2009-05,0.659,
2009-06,0.707,
2009-07,0.717,
2009-08,0.729,
2009-09,0.819,
2009-10,0.827,
2009-11,0.787,
2009-12,0.706,
2010-01,0.755,
2010-02,0.869,
2010-03,0.879,
2010-04,0.914,
2010-05,0.945,
2010-06,0.948,
2010-07,0.933,
2010-08,0.864,
2010-09,0.922,
2010-10,0.906,
2010-11,0.895,
2010-12,0.797,
2011-01,0.840,
2011-02,0.905,
2011-03,0.904,
2011-04,0.967,
2011-05,0.948,
2011-06,0.867,
2011-07,0.893,
2011-08,0.856,
2011-09,0.915,
2011-10,0.910,
2011-11,0.921,
2011-12,0.818,
2012-01,0.854,
2012-02,0.874,
2012-03,0.920,
2012-04,0.884,
2012-05,0.927,
2012-06,0.924,
2012-07,0.958,
2012-08,0.888,
2012-09,0.973,
2012-10,0.977,
2012-11,0.973,
2012-12,0.975,
2013-01,0.874,
2013-02,0.904,
2013-03,0.958,
2013-04,0.932,
2013-05,0.899,
2013-06,0.882,
2013-07,0.938,
2013-08,0.932,
2013-09,0.981,
2013-10,0.980,
2013-11,1.009,
2013-12,0.925,
2014-01,0.892,
2014-02,0.928,
2014-03,0.923,
2014-04,0.918,
2014-05,0.948,
2014-06,1.036,
2014-07,1.020,
2014-08,1.023,
2014-09,1.148,
2014-10,1.183,
2014-11,1.142,
2014-12,1.100,
