"",BBK01.TUB620,BBK01.TUB620_FLAGS
"",Banknotes in circulation / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:43:06,
2002-01,82540,
2002-02,79849,
2002-03,80509,
2002-04,81686,
2002-05,84110,
2002-06,86899,
2002-07,90031,
2002-08,90672,
2002-09,91964,
2002-10,94227,
2002-11,95709,
2002-12,104543,
2003-01,94459,
2003-02,96099,
2003-03,98133,
2003-04,101768,
2003-05,103218,
2003-06,105170,
2003-07,108498,
2003-08,108628,
2003-09,109239,
2003-10,110833,
2003-11,112744,
2003-12,121369,
2004-01,112370,
2004-02,113262,
2004-03,115001,
2004-04,117722,
2004-05,120832,
2004-06,122313,
2004-07,125976,
2004-08,125176,
2004-09,126486,
2004-10,128181,
2004-11,129499,
2004-12,136342,
2005-01,132304,
2005-02,132975,
2005-03,136050,
2005-04,137894,
2005-05,139428,
2005-06,142563,
2005-07,145192,
2005-08,143463,
2005-09,145033,
2005-10,146186,
2005-11,147302,
2005-12,153739,
2006-01,148772,
2006-02,149900,
2006-03,151545,
2006-04,154722,
2006-05,155268,
2006-06,157796,
2006-07,160334,
2006-08,159261,
2006-09,160272,
2006-10,161766,
2006-11,162809,
2006-12,170881,
2007-01,163579,
2007-02,164113,
2007-03,166648,
2007-04,169695,
2007-05,169862,
2007-06,171938,
2007-07,173897,
2007-08,173054,
2007-09,173083,
2007-10,174316,
2007-11,175367,
2007-12,183781,
2008-01,176175,
2008-02,177088,
2008-03,178955,
2008-04,181390,
2008-05,181983,
2008-06,183805,
2008-07,185971,
2008-08,185112,
2008-09,185252,
2008-10,197080,
2008-11,198096,
2008-12,206620,
2009-01,184671,
2009-02,185202,
2009-03,186485,
2009-04,189469,
2009-05,190035,
2009-06,190647,
2009-07,192881,
2009-08,191595,
2009-09,191512,
2009-10,192587,
2009-11,193737,
2009-12,201304,
2010-01,195596,
2010-02,195782,
2010-03,198970,
2010-04,199241,
2010-05,201024,
2010-06,202714,
2010-07,204842,
2010-08,203182,
2010-09,203036,
2010-10,203454,
2010-11,203891,
2010-12,209615,
2011-01,204513,
2011-02,204236,
2011-03,205210,
2011-04,207752,
2011-05,208649,
2011-06,210888,
2011-07,213061,
2011-08,211594,
2011-09,213469,
2011-10,215222,
2011-11,216075,
2011-12,221264,
2012-01,216340,
2012-02,215960,
2012-03,216613,
2012-04,217587,
2012-05,219865,
2012-06,222537,
2012-07,223564,
2012-08,223208,
2012-09,222227,
2012-10,221952,
2012-11,221541,
2012-12,227231,
2013-01,219747,
2013-02,219110,
2013-03,223145,
2013-04,224474,
2013-05,225402,
2013-06,226895,
2013-07,227873,
2013-08,228126,
2013-09,227929,
2013-10,229330,
2013-11,230140,
2013-12,237258,
2014-01,220574,
2014-02,220915,
2014-03,222232,
2014-04,224513,
2014-05,225653,
2014-06,226977,
2014-07,229385,
2014-08,229793,
2014-09,229824,
2014-10,230726,
2014-11,232093,
2014-12,240518,
