"",BBK01.OEAC04K,BBK01.OEAC04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:51,
2002-01,2.637,
2002-04,2.562,
2002-07,2.624,
2002-10,2.482,
2003-01,2.459,
2003-04,2.227,
2003-07,2.247,
2003-10,2.182,
2004-01,2.070,
2004-04,2.169,
2004-07,2.178,
2004-10,2.121,
2005-01,2.078,
2005-04,2.005,
2005-07,1.970,
2005-10,1.990,
2006-01,1.867,
2006-04,1.886,
2006-07,1.863,
2006-10,1.845,
2007-01,1.753,
2007-04,1.869,
2007-07,1.804,
2007-10,1.841,
2008-01,1.959,
2008-04,1.988,
2008-07,1.967,
2008-10,3.020,
2009-01,3.755,
2009-04,3.797,
2009-07,3.797,
2009-10,3.844,
2010-01,3.297,
2010-04,3.204,
2010-07,3.310,
2010-10,3.184,
2011-01,3.112,
2011-04,2.769,
2011-07,2.859,
2011-10,2.723,
2012-01,2.667,
2012-04,2.664,
2012-07,2.562,
2012-10,2.621,
2013-01,2.708,
2013-04,2.718,
2013-07,2.679,
2013-10,2.848,
2014-01,2.696,
2014-04,2.841,
2014-07,2.761,
