"",BBFI1.M.N.DE.W1.S121.S121.LE.A.FA.R.F2.T.X1.N.N,BBFI1.M.N.DE.W1.S121.S121.LE.A.FA.R.F2.T.X1.N.N_FLAGS
"",Reserve Assets (mthly.) - Currency and deposits - with monetary authorites and BIS - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:07,
1998-12,6155,
1999-01,4764,
1999-02,4358,
1999-03,4570,
1999-04,6515,
1999-05,6343,
1999-06,9816,
1999-07,5804,
1999-08,5737,
1999-09,4435,
1999-10,6558,
1999-11,4049,
1999-12,5484,
2000-01,4157,
2000-02,3387,
2000-03,4604,
2000-04,7509,
2000-05,5875,
2000-06,4906,
2000-07,2044,
2000-08,1931,
2000-09,3185,
2000-10,1986,
2000-11,2077,
2000-12,2851,
2001-01,1718,
2001-02,1614,
2001-03,843,
2001-04,1654,
2001-05,422,
2001-06,435,
2001-07,495,
2001-08,332,
2001-09,486,
2001-10,522,
2001-11,477,
2001-12,793,
2002-01,636,
2002-02,705,
2002-03,714,
2002-04,638,
2002-05,768,
2002-06,655,
2002-07,630,
2002-08,653,
2002-09,750,
2002-10,818,
2002-11,578,
2002-12,667,
2003-01,628,
2003-02,686,
2003-03,602,
2003-04,573,
2003-05,612,
2003-06,577,
2003-07,642,
2003-08,656,
2003-09,683,
2003-10,696,
2003-11,673,
2003-12,744,
2004-01,571,
2004-02,625,
2004-03,707,
2004-04,660,
2004-05,631,
2004-06,651,
2004-07,626,
2004-08,578,
2004-09,643,
2004-10,616,
2004-11,648,
2004-12,2244,
2005-01,1000,
2005-02,624,
2005-03,632,
2005-04,1095,
2005-05,1007,
2005-06,1443,
2005-07,657,
2005-08,698,
2005-09,571,
2005-10,611,
2005-11,597,
2005-12,1475,
2006-01,675,
2006-02,593,
2006-03,532,
2006-04,443,
2006-05,406,
2006-06,1135,
2006-07,396,
2006-08,422,
2006-09,474,
2006-10,394,
2006-11,397,
2006-12,523,
2007-01,447,
2007-02,469,
2007-03,480,
2007-04,372,
2007-05,404,
2007-06,397,
2007-07,413,
2007-08,402,
2007-09,423,
2007-10,378,
2007-11,404,
2007-12,791,
2008-01,922,
2008-02,1288,
2008-03,518,
2008-04,327,
2008-05,330,
2008-06,1061,
2008-07,800,
2008-08,357,
2008-09,1815,
2008-10,1939,
2008-11,1319,
2008-12,1589,
2009-01,635,
2009-02,612,
2009-03,3366,
2009-04,3515,
2009-05,3141,
2009-06,4546,
2009-07,4484,
2009-08,6118,
2009-09,6913,
2009-10,7515,
2009-11,7151,
2009-12,7512,
2010-01,5700,
2010-02,2054,
2010-03,5402,
2010-04,5524,
2010-05,561,
2010-06,3850,
2010-07,994,
2010-08,947,
2010-09,2455,
2010-10,1074,
2010-11,1241,
2010-12,2212,
2011-01,1613,
2011-02,2453,
2011-03,772,
2011-04,659,
2011-05,550,
2011-06,714,
2011-07,521,
2011-08,738,
2011-09,595,
2011-10,486,
2011-11,885,
2011-12,679,
2012-01,492,
2012-02,512,
2012-03,650,
2012-04,509,
2012-05,528,
2012-06,577,
2012-07,769,
2012-08,998,
2012-09,1293,
2012-10,2735,
2012-11,1313,
2012-12,1000,
2013-01,2039,
2013-02,456,
2013-03,906,
2013-04,643,
2013-05,646,
2013-06,1257,
2013-07,3750,
2013-08,2657,
2013-09,875,
2013-10,1116,
2013-11,574,
2013-12,2601,
2014-01,2157,
2014-02,1318,
2014-03,636,
2014-04,961,
2014-05,863,
2014-06,907,
2014-07,899,
2014-08,765,
2014-09,1033,
2014-10,987,
2014-11,1111,
2014-12,1406,
2015-01,898,
