"",BBK01.CEBO0X,BBK01.CEBO0X_FLAGS
"",Other deposits debtor: All sectors                     creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:13,
1991-01,16.8,
1991-04,16.5,
1991-07,12.8,
1991-10,10.9,
1992-01,14.3,
1992-04,12.2,
1992-07,12.0,
1992-10,13.3,
1993-01,18.7,
1993-04,21.2,
1993-07,22.6,
1993-10,24.1,
1994-01,26.3,
1994-04,23.9,
1994-07,27.3,
1994-10,22.4,
1995-01,25.9,
1995-04,27.1,
1995-07,24.6,
1995-10,22.5,
1996-01,30.9,
1996-04,32.4,
1996-07,30.5,
1996-10,25.0,
1997-01,33.9,
1997-04,30.3,
1997-07,25.5,
1997-10,22.1,
1998-01,33.3,
1998-04,30.7,
1998-07,32.2,
1998-10,23.2,
1999-01,27.2,
1999-04,22.2,
1999-07,23.4,
1999-10,20.8,
2000-01,26.2,
2000-04,19.7,
2000-07,25.7,
2000-10,22.8,
2001-01,26.0,
2001-04,25.3,
2001-07,29.3,
2001-10,30.7,
2002-01,43.9,
2002-04,45.8,
2002-07,48.1,
2002-10,31.4,
2003-01,44.2,
2003-04,50.9,
2003-07,58.2,
2003-10,53.6,
2004-01,59.5,
2004-04,53.7,
2004-07,53.6,
2004-10,56.6,
2005-01,67.5,
2005-04,61.1,
2005-07,70.1,
2005-10,62.3,
2006-01,81.1,
2006-04,79.2,
2006-07,95.7,
2006-10,83.7,
2007-01,112.6,
2007-04,117.9,
2007-07,122.1,
2007-10,144.6,
2008-01,181.5,
2008-04,175.4,
2008-07,213.5,
2008-10,234.5,
2009-01,261.8,
2009-04,272.5,
2009-07,262.8,
2009-10,275.2,
2010-01,264.8,
2010-04,293.6,
2010-07,311.5,
2010-10,328.3,
2011-01,320.4,
2011-04,363.7,
2011-07,414.7,
2011-10,359.9,
2012-01,357.6,
2012-04,385.8,
2012-07,383.6,
2012-10,334.5,
2013-01,375.1,
2013-04,402.6,
2013-07,194.0,
2013-10,188.6,
2014-01,211.0,
