"",BBK01.OECB06M,BBK01.OECB06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:37,
2002-01,3.697,
2002-04,3.671,
2002-07,2.995,
2002-10,3.162,
2003-01,3.161,
2003-04,2.755,
2003-07,2.524,
2003-10,2.249,
2004-01,2.260,
2004-04,2.158,
2004-07,2.006,
2004-10,2.461,
2005-01,2.575,
2005-04,2.599,
2005-07,2.585,
2005-10,2.247,
2006-01,2.370,
2006-04,2.457,
2006-07,2.546,
2006-10,2.707,
2007-01,2.520,
2007-04,2.375,
2007-07,2.205,
2007-10,2.730,
2008-01,2.771,
2008-04,2.756,
2008-07,2.852,
2008-10,2.435,
2009-01,2.431,
2009-04,2.231,
2009-07,2.014,
2009-10,1.759,
2010-01,1.947,
2010-04,2.019,
2010-07,2.036,
2010-10,1.905,
2011-01,2.179,
2011-04,2.120,
2011-07,2.195,
2011-10,2.096,
2012-01,2.309,
2012-04,2.369,
2012-07,2.245,
2012-10,2.115,
2013-01,2.398,
2013-04,2.424,
2013-07,2.378,
2013-10,2.409,
2014-01,2.454,
2014-04,2.547,
2014-07,2.394,
