"",BBK01.OEAD36L,BBK01.OEAD36L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:04,
2002-01,1.573,
2002-04,1.503,
2002-07,1.512,
2002-10,1.383,
2003-01,1.417,
2003-04,1.431,
2003-07,1.395,
2003-10,1.290,
2004-01,1.260,
2004-04,1.338,
2004-07,1.358,
2004-10,1.245,
2005-01,1.139,
2005-04,1.213,
2005-07,1.242,
2005-10,1.271,
2006-01,1.497,
2006-04,1.382,
2006-07,1.486,
2006-10,1.320,
2007-01,1.394,
2007-04,1.325,
2007-07,1.327,
2007-10,1.429,
2008-01,1.489,
2008-04,1.695,
2008-07,1.583,
2008-10,1.454,
2009-01,1.364,
2009-04,1.412,
2009-07,1.689,
2009-10,1.547,
2010-01,2.089,
2010-04,2.062,
2010-07,2.044,
2010-10,2.005,
2011-01,1.914,
2011-04,1.926,
2011-07,1.525,
2011-10,1.512,
2012-01,1.533,
2012-04,1.405,
2012-07,1.104,
2012-10,0.813,
2013-01,0.793,
2013-04,0.757,
2013-07,0.714,
2013-10,0.722,
2014-01,0.748,
2014-04,0.709,
2014-07,0.664,
