"",BBFB1.Q.N.DE.W00200.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:22,
1991-01,225.524,
1991-04,371.260,
1991-07,406.964,
1991-10,159.588,
1992-01,-1019.792,
1992-04,-1077.633,
1992-07,-1012.489,
1992-10,-1723.010,
1993-01,-764.261,
1993-04,-843.505,
1993-07,-798.330,
1993-10,-1280.547,
1994-01,-243.381,
1994-04,-415.221,
1994-07,-358.010,
1994-10,-534.253,
1995-01,-417.098,
1995-04,-613.873,
1995-07,-449.128,
1995-10,-848.505,
1996-01,-1213.051,
1996-04,-1298.951,
1996-07,-983.331,
1996-10,-1842.490,
1997-01,-167.335,
1997-04,-433.377,
1997-07,-145.051,
1997-10,-506.053,
1998-01,-171.974,
1998-04,-389.601,
1998-07,-462.282,
1998-10,-254.875,
1999-01,-1401.205,
1999-04,-1289.884,
1999-07,-1337.824,
1999-10,-1612.135,
2000-01,-1970.303,
2000-04,-1698.219,
2000-07,-1612.547,
2000-10,-1812.769,
2001-01,-4518.473,
2001-04,-6896.136,
2001-07,-4058.823,
2001-10,-4979.156,
2002-01,-925.180,
2002-04,-2199.121,
2002-07,-308.448,
2002-10,-3548.618,
2003-01,876.184,
2003-04,-3940.675,
2003-07,-153.800,
2003-10,-99.408,
2004-01,-2695.289,
2004-04,-1533.343,
2004-07,55.766,
2004-10,-785.454,
2005-01,1829.899,
2005-04,-726.814,
2005-07,1327.677,
2005-10,421.233,
2006-01,798.124,
2006-04,-2399.733,
2006-07,1580.051,
2006-10,-1245.257,
2007-01,5511.469,
2007-04,-1963.798,
2007-07,1990.936,
2007-10,-719.769,
2008-01,-2144.520,
2008-04,-6388.758,
2008-07,-6866.566,
2008-10,-5859.277,
2009-01,-2179.842,
2009-04,-3686.232,
2009-07,-1913.853,
2009-10,-3670.431,
2010-01,2809.776,
2010-04,-2470.329,
2010-07,3515.835,
2010-10,-722.373,
2011-01,2837.362,
2011-04,-2407.771,
2011-07,-729.476,
2011-10,-635.891,
2012-01,2431.797,
2012-04,-149.768,
2012-07,2003.453,
2012-10,1284.571,
2013-01,3688.640,
2013-04,-1406.554,
2013-07,753.451,
2013-10,59.976,
2014-01,3407.181,Provisional value
2014-04,511.156,Provisional value
2014-07,2784.594,Provisional value
2014-10,1095.800,Provisional value
