"",BBSF2.M.1.T.00000.GEM01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.GEM01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Funds total / Mixed securities funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:33,
2009-09,1127,
2009-10,792,
2009-11,625,
2009-12,670,
2010-01,727,
2010-02,635,
2010-03,553,
2010-04,565,
2010-05,750,
2010-06,692,
2010-07,776,
2010-08,860,
2010-09,926,
2010-10,876,
2010-11,988,
2010-12,1138,
2011-01,1093,
2011-02,1140,
2011-03,1273,
2011-04,1255,
2011-05,1296,
2011-06,1354,
2011-07,1250,
2011-08,831,
2011-09,830,
2011-10,775,
2011-11,674,
2011-12,661,
2012-01,553,
2012-02,557,
2012-03,502,
2012-04,515,
2012-05,559,
2012-06,473,
2012-07,374,
2012-08,337,
2012-09,257,
2012-10,235,
2012-11,217,
2012-12,196,
2013-01,157,
2013-02,177,
2013-03,228,
2013-04,248,
2013-05,237,
2013-06,311,
2013-07,316,
2013-08,333,
2013-09,351,
2013-10,332,
2013-11,342,
2013-12,305,
2014-01,287,
2014-02,299,
2014-03,318,
2014-04,310,
2014-05,276,
2014-06,318,
2014-07,321,
2014-08,477,
2014-09,475,
2014-10,479,
2014-11,463,
