"",BBBPS.Q.DE.N.SG1100.I020.X.X.Z5.0000.Z01.E,BBBPS.Q.DE.N.SG1100.I020.X.X.Z5.0000.Z01.E_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-30 12:31:51,
2008-01,1.009,
2008-04,0.677,
2008-07,2.488,
2008-10,5.617,
2009-01,2.901,
2009-04,5.493,
2009-07,4.685,
2009-10,6.409,
2010-01,2.401,
2010-04,1.919,
2010-07,1.533,
2010-10,1.599,
2011-01,1.078,
2011-04,0.457,
2011-07,1.347,
2011-10,1.926,
2012-01,1.002,
2012-04,1.630,
2012-07,2.100,
2012-10,2.194,
2013-01,1.396,
2013-04,1.653,
2013-07,1.977,
2013-10,2.546,
2014-01,0.358,
2014-04,0.730,
2014-07,1.050,Provisional value
