"",BBFN1.M.DE.N.1.A.HK.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HK.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Hong Kong,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:32,
1994-07,0.727,
1994-08,0.743,
1994-09,0.778,
1994-10,0.761,
1994-11,0.858,
1994-12,0.842,
1995-01,0.822,
1995-02,0.796,
1995-03,0.817,
1995-04,0.782,
1995-05,0.801,
1995-06,0.826,
1995-07,0.868,
1995-08,0.833,
1995-09,0.834,
1995-10,0.861,
1995-11,0.911,
1995-12,0.871,
1996-01,0.856,
1996-02,0.828,
1996-03,0.861,
1996-04,0.870,
1996-05,0.845,
1996-06,0.883,
1996-07,0.866,
1996-08,0.858,
1996-09,0.847,
1996-10,0.887,
1996-11,0.957,
1996-12,0.899,
1997-01,0.864,
1997-02,0.849,
1997-03,0.907,
1997-04,0.964,
1997-05,0.982,
1997-06,1.050,
1997-07,1.040,
1997-08,1.040,
1997-09,0.991,
1997-10,1.005,
1997-11,1.049,
1997-12,0.987,
1998-01,1.002,
1998-02,1.001,
1998-03,1.037,
1998-04,1.025,
1998-05,0.930,
1998-06,0.875,
1998-07,0.886,
1998-08,0.858,
1998-09,0.762,
1998-10,0.766,
1998-11,0.740,
1998-12,0.957,
1999-01,0.782,
1999-02,0.792,
1999-03,0.824,
1999-04,0.846,
1999-05,0.919,
1999-06,1.035,
1999-07,1.024,
1999-08,0.972,
1999-09,0.969,
1999-10,0.949,
1999-11,0.979,
1999-12,0.938,
2000-01,0.914,
2000-02,0.932,
2000-03,0.979,
2000-04,1.055,
2000-05,1.017,
2000-06,1.046,
2000-07,1.148,
2000-08,1.047,
2000-09,1.023,
2000-10,1.130,
2000-11,1.149,
2000-12,1.141,
2001-01,1.181,
2001-02,1.101,
2001-03,1.138,
2001-04,1.143,
2001-05,1.193,
2001-06,1.181,
2001-07,1.186,
2001-08,1.107,
2001-09,1.061,
2001-10,1.112,
2001-11,1.099,
2001-12,1.052,
2002-01,1.060,
2002-02,1.001,
2002-03,1.012,
2002-04,1.104,
2002-05,1.126,
2002-06,1.148,
2002-07,1.163,
2002-08,1.170,
2002-09,1.199,
2002-10,1.248,
2002-11,1.257,
2002-12,1.262,
2003-01,1.180,
2003-02,1.180,
2003-03,1.224,
2003-04,1.229,
2003-05,1.202,
2003-06,1.116,
2003-07,1.280,
2003-08,1.279,
2003-09,1.216,
2003-10,1.115,
2003-11,1.152,
2003-12,1.088,
2004-01,1.067,
2004-02,1.027,
2004-03,1.076,
2004-04,1.199,
2004-05,1.308,
2004-06,1.251,
2004-07,1.252,
2004-08,1.183,
2004-09,1.135,
2004-10,1.211,
2004-11,1.283,
2004-12,1.121,
2005-01,1.089,
2005-02,1.024,
2005-03,1.017,
2005-04,1.122,
2005-05,1.165,
2005-06,1.229,
2005-07,1.297,
2005-08,1.284,
2005-09,1.264,
2005-10,1.157,
2005-11,1.177,
2005-12,1.282,
2006-01,1.178,
2006-02,1.143,
2006-03,1.177,
2006-04,1.228,
2006-05,1.246,
2006-06,1.281,
2006-07,1.151,
2006-08,1.098,
2006-09,1.094,
2006-10,1.140,
2006-11,1.163,
2006-12,1.129,
2007-01,1.106,
2007-02,1.087,
2007-03,1.217,
2007-04,1.235,
2007-05,1.259,
2007-06,1.251,
2007-07,1.188,
2007-08,1.150,
2007-09,1.146,
2007-10,1.204,
2007-11,1.175,
2007-12,1.210,
2008-01,1.213,
2008-02,1.133,
2008-03,1.156,
2008-04,1.225,
2008-05,1.294,
2008-06,1.281,
2008-07,1.348,
2008-08,1.275,
2008-09,1.204,
2008-10,1.146,
2008-11,1.076,
2008-12,1.000,
2009-01,0.903,
2009-02,0.908,
2009-03,0.955,
2009-04,1.015,
2009-05,0.999,
2009-06,1.015,
2009-07,1.055,
2009-08,1.063,
2009-09,1.076,
2009-10,1.092,
2009-11,1.083,
2009-12,0.999,
2010-01,1.046,
2010-02,1.060,
2010-03,1.054,
2010-04,1.145,
2010-05,1.183,
2010-06,1.223,
2010-07,1.293,
2010-08,1.226,
2010-09,1.250,
2010-10,1.301,
2010-11,1.254,
2010-12,1.259,
2011-01,1.278,
2011-02,1.276,
2011-03,1.315,
2011-04,1.299,
2011-05,1.307,
2011-06,1.268,
2011-07,1.272,
2011-08,1.330,
2011-09,1.300,
2011-10,1.248,
2011-11,1.191,
2011-12,1.193,
2012-01,1.220,
2012-02,1.213,
2012-03,1.237,
2012-04,1.274,
2012-05,1.289,
2012-06,1.343,
2012-07,1.370,
2012-08,1.311,
2012-09,1.363,
2012-10,1.312,
2012-11,1.338,
2012-12,1.387,
2013-01,1.287,
2013-02,1.390,
2013-03,1.506,
2013-04,1.434,
2013-05,1.406,
2013-06,1.480,
2013-07,1.458,
2013-08,1.502,
2013-09,1.569,
2013-10,1.533,
2013-11,1.610,
2013-12,1.608,
2014-01,1.595,
2014-02,1.470,
2014-03,1.574,
2014-04,1.685,
2014-05,1.414,
2014-06,1.746,
2014-07,1.793,
2014-08,1.760,
2014-09,1.901,
2014-10,1.911,
2014-11,1.864,
2014-12,1.917,
