"",BBFB1.Q.N.DE.GR.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:30,
1991-01,-200.117,
1991-04,-388.251,
1991-07,-642.352,
1991-10,-360.938,
1992-01,-197.217,
1992-04,-445.065,
1992-07,-748.315,
1992-10,-429.898,
1993-01,-180.684,
1993-04,-429.950,
1993-07,-787.055,
1993-10,-447.263,
1994-01,-174.397,
1994-04,-518.449,
1994-07,-914.961,
1994-10,-507.019,
1995-01,-187.581,
1995-04,-464.153,
1995-07,-854.376,
1995-10,-483.004,
1996-01,-151.036,
1996-04,-418.588,
1996-07,-826.915,
1996-10,-448.066,
1997-01,-170.220,
1997-04,-512.138,
1997-07,-915.983,
1997-10,-455.641,
1998-01,-179.374,
1998-04,-481.407,
1998-07,-899.951,
1998-10,-503.227,
1999-01,-173.543,
1999-04,-602.159,
1999-07,-1158.698,
1999-10,-640.300,
2000-01,-234.790,
2000-04,-670.570,
2000-07,-1210.760,
2000-10,-691.599,
2001-01,-243.873,
2001-04,-620.400,
2001-07,-1078.529,
2001-10,-567.607,
2002-01,-230.984,
2002-04,-809.533,
2002-07,-1251.867,
2002-10,-574.257,
2003-01,-214.931,
2003-04,-743.593,
2003-07,-1324.653,
2003-10,-570.695,
2004-01,-216.219,
2004-04,-744.655,
2004-07,-1148.567,
2004-10,-418.196,
2005-01,-355.796,
2005-04,-744.117,
2005-07,-1273.507,
2005-10,-486.077,
2006-01,-362.641,
2006-04,-716.098,
2006-07,-1079.968,
2006-10,-512.952,
2007-01,-383.965,
2007-04,-696.473,
2007-07,-1349.049,
2007-10,-504.689,
2008-01,-377.794,
2008-04,-802.216,
2008-07,-1286.729,
2008-10,-379.603,
2009-01,-155.344,
2009-04,-577.313,
2009-07,-970.234,
2009-10,-349.769,
2010-01,-268.977,
2010-04,-677.949,
2010-07,-982.019,
2010-10,-402.304,
2011-01,-230.898,
2011-04,-741.946,
2011-07,-1173.991,
2011-10,-399.367,
2012-01,-216.685,
2012-04,-469.064,
2012-07,-1089.004,
2012-10,-474.298,
2013-01,-311.567,
2013-04,-641.606,
2013-07,-1033.299,
2013-10,-556.269,
2014-01,-333.266,Provisional value
2014-04,-729.624,Provisional value
2014-07,-1288.876,Provisional value
