"",BBK01.OEAL09U,BBK01.OEAL09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:51,
2002-01,1.552,
2002-04,1.519,
2002-07,1.570,
2002-10,1.571,
2003-01,1.497,
2003-04,1.425,
2003-07,1.368,
2003-10,1.304,
2004-01,1.285,
2004-04,1.260,
2004-07,1.248,
2004-10,1.331,
2005-01,1.330,
2005-04,1.296,
2005-07,1.229,
2005-10,1.360,
2006-01,1.451,
2006-04,1.464,
2006-07,1.542,
2006-10,1.595,
2007-01,1.733,
2007-04,1.793,
2007-07,1.948,
2007-10,2.045,
2008-01,1.985,
2008-04,2.031,
2008-07,2.035,
2008-10,2.322,
2009-01,2.233,
2009-04,2.137,
2009-07,1.922,
2009-10,2.016,
2010-01,1.867,
2010-04,1.780,
2010-07,1.618,
2010-10,1.538,
2011-01,1.444,
2011-04,1.458,
2011-07,1.411,
2011-10,1.359,
2012-01,1.315,
2012-04,1.294,
2012-07,1.256,
2012-10,1.174,
2013-01,1.018,
2013-04,0.922,
2013-07,0.870,
2013-10,0.843,
2014-01,0.829,
2014-04,0.823,
2014-07,0.859,
