"",BBDE1.Q.DE.Y.LCA1.N2F000000.A.L.I08.A,BBDE1.Q.DE.Y.LCA1.N2F000000.A.L.I08.A_FLAGS
"",Index of labour costs / Germany / Section F - Construction / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:05,
1996-01,85.8,
1996-04,84.8,
1996-07,86.1,
1996-10,90.4,
1997-01,87.9,
1997-04,84.0,
1997-07,86.2,
1997-10,87.6,
1998-01,84.7,
1998-04,86.3,
1998-07,86.6,
1998-10,86.0,
1999-01,85.8,
1999-04,86.3,
1999-07,86.3,
1999-10,85.9,
2000-01,86.6,
2000-04,88.8,
2000-07,89.7,
2000-10,90.2,
2001-01,89.1,
2001-04,91.2,
2001-07,91.4,
2001-10,91.4,
2002-01,92.9,
2002-04,92.5,
2002-07,93.1,
2002-10,93.5,
2003-01,95.2,
2003-04,96.3,
2003-07,94.6,
2003-10,94.4,
2004-01,95.3,
2004-04,95.3,
2004-07,95.4,
2004-10,92.3,
2005-01,96.7,
2005-04,95.4,
2005-07,95.9,
2005-10,94.4,
2006-01,96.6,
2006-04,94.5,
2006-07,93.9,
2006-10,95.8,
2007-01,94.7,
2007-04,95.6,
2007-07,97.6,
2007-10,98.9,
2008-01,99.2,
2008-04,97.5,
2008-07,100.3,
2008-10,102.9,
2009-01,103.9,
2009-04,103.7,
2009-07,103.1,
2009-10,103.8,
2010-01,105.2,
2010-04,104.3,
2010-07,104.3,
2010-10,104.8,
2011-01,105.4,
2011-04,107.2,
2011-07,107.5,
2011-10,108.9,
2012-01,108.7,
2012-04,110.5,
2012-07,111.3,
2012-10,112.1,
2013-01,112.2,
2013-04,110.1,
2013-07,110.0,
2013-10,112.3,
2014-01,112.2,
2014-04,111.3,
2014-07,111.6,
