"",BBK01.OEYB03N,BBK01.OEYB03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:26,
2002-01,10.923,
2002-04,9.859,
2002-07,10.782,
2002-10,11.720,
2003-01,16.371,
2003-04,15.068,
2003-07,15.740,
2003-10,12.509,
2004-01,13.536,
2004-04,12.939,
2004-07,12.940,
2004-10,12.283,
2005-01,12.357,
2005-04,12.600,
2005-07,14.238,
2005-10,15.677,
2006-01,16.211,
2006-04,17.180,
2006-07,18.332,
2006-10,17.691,
2007-01,18.178,
2007-04,20.491,
2007-07,21.329,
2007-10,21.215,
2008-01,21.931,
2008-04,22.331,
2008-07,17.192,
2008-10,17.516,
2009-01,17.674,
2009-04,17.750,
2009-07,18.352,
2009-10,18.175,
2010-01,17.485,
2010-04,17.240,
2010-07,16.913,
2010-10,16.977,
2011-01,17.129,
2011-04,16.277,
2011-07,16.270,
2011-10,16.901,
2012-01,17.425,
2012-04,17.086,
2012-07,15.400,
2012-10,13.365,
2013-01,12.734,
2013-04,12.279,
2013-07,11.517,
2013-10,10.748,
2014-01,10.239,
2014-04,10.270,
2014-07,10.006,
