"",BBK01.OEBO06K,BBK01.OEBO06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:33,
2002-01,2.795,
2002-04,2.434,
2002-07,2.435,
2002-10,2.576,
2003-01,2.629,
2003-04,2.584,
2003-07,2.634,
2003-10,2.624,
2004-01,2.567,
2004-04,2.517,
2004-07,2.623,
2004-10,2.640,
2005-01,3.903,
2005-04,4.029,
2005-07,3.994,
2005-10,3.911,
2006-01,3.813,
2006-04,3.812,
2006-07,3.729,
2006-10,3.766,
2007-01,3.975,
2007-04,3.991,
2007-07,3.986,
2007-10,4.150,
2008-01,4.268,
2008-04,4.377,
2008-07,4.360,
2008-10,4.949,
2009-01,5.110,
2009-04,5.301,
2009-07,5.676,
2009-10,5.534,
2010-01,5.477,
2010-04,5.408,
2010-07,5.419,
2010-10,5.702,
2011-01,5.762,
2011-04,5.567,
2011-07,5.465,
2011-10,5.412,
2012-01,5.610,
2012-04,5.540,
2012-07,5.813,
2012-10,5.826,
2013-01,5.493,
2013-04,5.384,
2013-07,5.265,
2013-10,5.264,
2014-01,5.169,
2014-04,5.081,
2014-07,5.204,
