"",BBK01.BQ2909,BBK01.BQ2909_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - expenditure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:03,
1991-01,106489,
1991-04,107777,
1991-07,111467,
1991-10,144843,
1992-01,114188,
1992-04,115208,
1992-07,127174,
1992-10,160422,
1993-01,123632,
1993-04,124172,
1993-07,130551,
1993-10,161952,
1994-01,129732,
1994-04,126262,
1994-07,131661,
1994-10,165731,
1995-01,133615,
1995-04,131233,
1995-07,140425,
1995-10,172240,
1996-01,132652,
1996-04,131321,
1996-07,137781,
1996-10,167959,
1997-01,133934,
1997-04,130681,
1997-07,136956,
1997-10,161473,
1998-01,138780,
1998-04,130680,
1998-07,139780,
1998-10,165546,
1999-01,139680,
1999-04,133682,
1999-07,148940,
1999-10,168621,
2000-01,144128,
2000-04,135650,
2000-07,144304,
2000-10,168125,
2001-01,147848,
2001-04,136746,
2001-07,146237,
2001-10,167277,
2002-01,150176,
2002-04,141819,
2002-07,148720,
2002-10,165644,
2003-01,154472,
2003-04,143824,
2003-07,155794,
2003-10,159829,Provisional value
2004-01,158473,Provisional value
2004-04,141514,Provisional value
2004-07,151917,Provisional value
2004-10,157347,Provisional value
2005-01,159945,Provisional value
2005-04,144832,Provisional value
2005-07,154210,Provisional value
2005-10,161644,Provisional value
2006-01,160395,Provisional value
2006-04,139852,Provisional value
2006-07,155956,Provisional value
2006-10,168397,Provisional value
2007-01,164517,Provisional value
2007-04,144462,Provisional value
2007-07,160538,Provisional value
2007-10,173058,Provisional value
2008-01,164537,Provisional value
2008-04,151539,Provisional value
2008-07,167095,Provisional value
2008-10,192571,Provisional value
2009-01,175444,Provisional value
2009-04,169419,Provisional value
2009-07,174858,Provisional value
2009-10,199541,Provisional value
2010-01,180357,Provisional value
2010-04,173590,Provisional value
2010-07,177308,Provisional value
2010-10,199171,Provisional value
2011-01,183128,Provisional value
2011-04,172567,Provisional value
2011-07,182583,Provisional value
2011-10,196620,Provisional value
2012-01,192520,Provisional value
2012-04,179846,Provisional value
2012-07,182378,Provisional value
2012-10,209291,Provisional value
2013-01,187157,Provisional value
2013-04,184179,Provisional value
2013-07,191423,Provisional value
2013-10,206411,Provisional value
2014-01,192300,Provisional value
2014-04,186300,Provisional value
"",General: For Germany as a whole (excluding hospitals with commercial accounting practices),
