"",BBK01.OEXI09L,BBK01.OEXI09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:21,
2002-01,0.882,
2002-04,0.833,
2002-07,0.879,
2002-10,0.839,
2003-01,0.744,
2003-04,0.677,
2003-07,0.623,
2003-10,0.605,
2004-01,0.579,
2004-04,0.539,
2004-07,0.506,
2004-10,0.497,
2005-01,0.510,
2005-04,0.490,
2005-07,0.437,
2005-10,0.437,
2006-01,0.432,
2006-04,0.539,
2006-07,0.561,
2006-10,0.583,
2007-01,0.807,
2007-04,0.889,
2007-07,0.984,
2007-10,1.139,
2008-01,1.212,
2008-04,1.257,
2008-07,1.331,
2008-10,1.953,
2009-01,1.925,
2009-04,1.902,
2009-07,1.897,
2009-10,1.528,
2010-01,1.229,
2010-04,1.187,
2010-07,1.158,
2010-10,1.420,
2011-01,1.633,
2011-04,1.692,
2011-07,1.729,
2011-10,1.685,
2012-01,1.532,
2012-04,1.546,
2012-07,1.480,
2012-10,1.285,
2013-01,1.095,
2013-04,0.983,
2013-07,0.943,
2013-10,0.912,
2014-01,0.857,
2014-04,0.833,
2014-07,1.072,
