"",BBK01.OEYJ04H,BBK01.OEYJ04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:48,
2002-01,0.919,
2002-04,1.048,
2002-07,0.867,
2002-10,0.971,
2003-01,1.365,
2003-04,1.688,
2003-07,1.200,
2003-10,1.693,
2004-01,2.492,
2004-04,2.713,
2004-07,2.401,
2004-10,2.788,
2005-01,3.184,
2005-04,3.479,
2005-07,3.561,
2005-10,1.295,
2006-01,3.369,
2006-04,3.377,
2006-07,3.066,
2006-10,1.085,
2007-01,4.445,
2007-04,5.229,
2007-07,5.991,
2007-10,6.084,
2008-01,9.165,
2008-04,11.165,
2008-07,12.741,
2008-10,6.644,
2009-01,11.626,
2009-04,11.735,
2009-07,11.609,
2009-10,9.291,
2010-01,10.724,
2010-04,11.441,
2010-07,10.212,
2010-10,10.094,
2011-01,6.187,
2011-04,7.016,
2011-07,5.369,
2011-10,6.390,
2012-01,3.517,
2012-04,3.996,
2012-07,3.169,
2012-10,6.925,
2013-01,5.363,
2013-04,4.372,
2013-07,2.613,
2013-10,3.528,
2014-01,3.040,
2014-04,3.018,
2014-07,2.842,
