"",BBK01.OEAA24I,BBK01.OEAA24I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:14,
2002-01,0.274,
2002-04,0.244,
2002-07,0.221,
2002-10,0.158,
2003-01,0.156,
2003-04,0.156,
2003-07,0.160,
2003-10,0.186,
2004-01,0.183,
2004-04,0.249,
2004-07,0.220,
2004-10,0.230,
2005-01,0.229,
2005-04,0.343,
2005-07,0.326,
2005-10,0.327,
2006-01,0.292,
2006-04,0.280,
2006-07,0.289,
2006-10,0.256,
2007-01,0.255,
2007-04,0.232,
2007-07,0.220,
2007-10,0.212,
2008-01,0.205,
2008-04,0.191,
2008-07,0.205,
2008-10,0.189,
2009-01,0.185,
2009-04,0.185,
2009-07,0.188,
2009-10,0.190,
2010-01,0.192,
2010-04,0.184,
2010-07,0.188,
2010-10,0.189,
2011-01,0.186,
2011-04,0.127,
2011-07,0.132,
2011-10,0.121,
2012-01,0.117,
2012-04,0.122,
2012-07,0.125,
2012-10,0.128,
2013-01,0.130,
2013-04,0.140,
2013-07,0.143,
2013-10,0.152,
2014-01,0.154,
2014-04,0.158,
2014-07,0.165,
