"",BBEX3.M.RSD.EUR.CA.AA.A01,BBEX3.M.RSD.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Serbia  / EUR 1 = RSD ... (buying),
unit,RSD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:25,
2006-10,79.6802,
2006-11,78.4141,
2006-12,78.7630,
2007-01,78.7630,
2007-02,79.7500,
2007-03,81.3295,
2007-04,80.4831,
2007-05,80.9625,
2007-06,78.7883,
2007-07,79.2893,
2007-08,79.6503,
2007-09,78.6240,
2007-10,77.0083,
2007-11,84.4997,
2007-12,78.9985,
2008-01,82.5232,
2008-02,83.2131,
2008-03,82.0677,
2008-04,79.8891,
2008-05,82.1829,
2008-06,78.7415,
2008-07,76.7629,
2008-08,76.2149,
2008-09,76.3674,
2008-10,84.7360,
2008-11,88.9277,
2008-12,88.3352,
2009-01,93.8189,
2009-02,93.5208,
2009-03,94.4935,
2009-04,94.9539,
2009-05,94.4314,
2009-06,93.1612,
2009-07,92.9136,
2009-08,92.7945,
2009-09,92.7324,
2009-10,93.1543,
2009-11,94.4737,
2009-12,95.6011,
2010-01,98.1666,
2010-02,99.3348,
2010-03,99.4611,
2010-04,98.9705,
2010-05,102.4221,
2010-06,104.0573,
2010-07,105.9069,
2010-08,104.7879,
2010-09,105.8563,
2010-10,107.1047,
2010-11,106.8729,
2010-12,105.1817,
2011-01,104.2913,
2011-02,102.9140,
2011-03,103.2843,
2011-04,99.3303,
2011-05,96.6893,
2011-06,102.1557,
2011-07,101.8187,
2011-08,101.2788,
2011-09,100.8697,
2011-10,100.1837,
2011-11,103.6622,
2011-12,104.3270,
2012-01,105.7438,
2012-02,109.8560,
2012-03,111.0302,
2012-04,111.5624,
2012-05,116.2623,
2012-06,115.4728,
2012-07,117.3774,
2012-08,118.0963,
2012-09,114.6869,
2012-10,112.9437,
2012-11,112.2999,
2012-12,113.3771,
2013-01,111.2665,
2013-02,111.1854,
2013-03,111.6216,
2013-04,110.2110,
2013-05,111.2753,
2013-06,113.8290,
2013-07,113.4601,
2013-08,114.0822,
2013-09,114.2606,
2013-10,113.6662,
2013-11,113.7021,
2013-12,114.2982,
2014-01,115.5758,
2014-02,115.5878,
2014-03,115.0383,
2014-04,115.3281,
2014-05,115.3050,
2014-06,115.4379,
2014-07,116.4173,
2014-08,117.4718,
2014-09,118.4943,
2014-10,118.7315,
2014-11,120.1852,
2014-12,120.5954,
2015-01,123.1793,
"","General: * Independent since 3 June 2006; formerly ""Serbia and Montenegro"". The euro has been the sole legal tender in Montenegro since 1 April 2002. On 25 October 2006, the ISO code was changed from CSD to RSD.",
"","Source: National Bank of Serbia, Belgrade",
