"",BBFB1.M.N.DE.W1.S1W.S1.T.L.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S1W.S1.T.L.FA.P.F3.L._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Long-term debt-securities / Private issuers / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:16,
1991-01,43.721,
1991-02,1293.493,
1991-03,-45.499,
1991-04,1124.486,
1991-05,173.815,
1991-06,782.098,
1991-07,458.447,
1991-08,647.876,
1991-09,490.873,
1991-10,1446.588,
1991-11,479.400,
1991-12,685.543,
1992-01,188.210,
1992-02,988.395,
1992-03,325.576,
1992-04,1049.065,
1992-05,319.444,
1992-06,153.187,
1992-07,-106.620,
1992-08,1137.351,
1992-09,3309.627,
1992-10,4525.702,
1992-11,3292.018,
1992-12,7543.933,
1993-01,3802.392,
1993-02,4179.243,
1993-03,3570.546,
1993-04,2075.726,
1993-05,1346.519,
1993-06,4288.618,
1993-07,4263.105,
1993-08,1332.660,
1993-09,1837.203,
1993-10,2835.459,
1993-11,1950.783,
1993-12,-2064.255,
1994-01,3669.054,
1994-02,-1434.645,
1994-03,-3124.465,
1994-04,-2094.716,
1994-05,-1181.759,
1994-06,1093.553,
1994-07,2384.121,
1994-08,1275.324,
1994-09,1483.283,
1994-10,2014.115,
1994-11,2204.257,
1994-12,3163.500,
1995-01,1486.139,
1995-02,951.956,
1995-03,673.837,
1995-04,842.829,
1995-05,1717.591,
1995-06,252.098,
1995-07,2318.682,
1995-08,1303.718,
1995-09,1309.212,
1995-10,1468.446,
1995-11,3084.100,
1995-12,3232.950,
1996-01,4858.837,
1996-02,6888.877,
1996-03,916.633,
1996-04,-619.364,
1996-05,1083.971,
1996-06,1117.637,
1996-07,3305.906,
1996-08,3446.213,
1996-09,583.556,
1996-10,2745.705,
1996-11,3137.569,
1996-12,2168.249,
1997-01,3387.122,
1997-02,1749.668,
1997-03,5887.886,
1997-04,-136.855,
1997-05,900.798,
1997-06,598.336,
1997-07,1550.363,
1997-08,3611.734,
1997-09,1756.333,
1997-10,1476.585,
1997-11,2462.647,
1997-12,-569.614,
1998-01,3454.442,
1998-02,7371.862,
1998-03,4164.813,
1998-04,4195.950,
1998-05,3134.942,
1998-06,2685.780,
1998-07,5634.918,
1998-08,3540.054,
1998-09,4345.748,
1998-10,-1485.685,
1998-11,566.073,
1998-12,1397.226,
1999-01,9813.646,
1999-02,9752.990,
1999-03,9047.338,
1999-04,9832.662,
1999-05,4071.892,
1999-06,3967.252,
1999-07,1421.595,
1999-08,4070.285,
1999-09,10997.704,
1999-10,891.503,
1999-11,3392.090,
1999-12,-2106.984,
2000-01,-175.809,
2000-02,4112.073,
2000-03,6342.105,
2000-04,7413.828,
2000-05,4874.922,
2000-06,1917.446,
2000-07,3802.988,
2000-08,3875.146,
2000-09,2358.760,
2000-10,4431.117,
2000-11,5966.014,
2000-12,7158.308,
2001-01,9736.114,
2001-02,7919.911,
2001-03,5638.542,
2001-04,384.625,
2001-05,6918.778,
2001-06,8960.615,
2001-07,1999.765,
2001-08,4478.157,
2001-09,2738.632,
2001-10,5422.775,
2001-11,20290.926,
2001-12,-1919.335,
2002-01,5608.661,
2002-02,1726.050,
2002-03,5185.235,
2002-04,5893.405,
2002-05,5448.252,
2002-06,7823.824,
2002-07,8774.323,
2002-08,3746.278,
2002-09,5296.884,
2002-10,-3120.231,
2002-11,432.395,
2002-12,-2477.559,
2003-01,-2193.549,
2003-02,630.591,
2003-03,4808.771,
2003-04,8518.225,
2003-05,4802.684,
2003-06,2687.129,
2003-07,6905.449,
2003-08,2013.549,
2003-09,6485.460,
2003-10,5058.836,
2003-11,3009.639,
2003-12,4248.520,
2004-01,9177.344,
2004-02,14030.094,
2004-03,10277.670,
2004-04,14530.761,
2004-05,10463.045,
2004-06,-236.508,
2004-07,5931.779,
2004-08,7179.664,
2004-09,11935.381,
2004-10,6478.378,
2004-11,4246.496,
2004-12,-398.688,
2005-01,8096.994,
2005-02,10709.875,
2005-03,12384.511,
2005-04,13808.719,
2005-05,7574.648,
2005-06,15400.779,
2005-07,2188.195,
2005-08,2565.604,
2005-09,5650.890,
2005-10,10835.786,
2005-11,2762.262,
2005-12,-3122.543,
2006-01,8318.484,
2006-02,7359.253,
2006-03,6844.058,
2006-04,-5675.197,
2006-05,7968.193,
2006-06,1054.434,
2006-07,5476.951,
2006-08,4269.705,
2006-09,761.968,
2006-10,5087.356,
2006-11,7287.139,
2006-12,16589.156,
2007-01,16279.040,
2007-02,13916.637,
2007-03,10814.698,
2007-04,11876.107,
2007-05,12371.821,
2007-06,11299.329,
2007-07,9683.898,
2007-08,10037.498,
2007-09,7022.289,
2007-10,18739.652,
2007-11,12315.262,
2007-12,3442.585,
2008-01,7863.916,
2008-02,4048.044,
2008-03,2707.605,
2008-04,5400.157,
2008-05,4867.679,
2008-06,3196.526,
2008-07,9799.578,
2008-08,-4634.456,
2008-09,-7767.306,
2008-10,-6561.765,
2008-11,-7669.141,
2008-12,-25176.235,
2009-01,-6598.567,
2009-02,-8813.764,
2009-03,-24037.983,
2009-04,-9592.931,
2009-05,591.845,
2009-06,-13654.542,
2009-07,-8539.307,
2009-08,5316.416,
2009-09,-14784.222,
2009-10,-4151.355,
2009-11,-3626.485,
2009-12,-9897.793,
2010-01,773.096,
2010-02,-6647.175,
2010-03,9665.478,
2010-04,9347.587,
2010-05,-949.408,
2010-06,-9305.766,
2010-07,-10793.738,
2010-08,1624.930,
2010-09,8582.228,
2010-10,-8210.576,
2010-11,3080.549,
2010-12,-10590.720,
2011-01,9759.387,
2011-02,8028.814,
2011-03,-8028.583,
2011-04,2173.658,
2011-05,5601.888,
2011-06,-4718.221,
2011-07,-7917.229,
2011-08,4479.650,
2011-09,-518.840,
2011-10,-10440.249,
2011-11,-2934.625,
2011-12,-12969.163,
2012-01,-21430.979,
2012-02,10070.814,
2012-03,-1824.234,
2012-04,607.968,
2012-05,-6334.670,
2012-06,-5799.450,
2012-07,-3081.170,
2012-08,-1505.717,
2012-09,7873.353,
2012-10,1131.210,
2012-11,435.658,
2012-12,-6501.311,
2013-01,-2696.772,
2013-02,5144.591,
2013-03,-6792.958,
2013-04,-300.119,
2013-05,-4821.098,
2013-06,-17152.029,
2013-07,-8220.631,
2013-08,-5587.887,
2013-09,4237.245,
2013-10,1579.529,
2013-11,1045.095,
2013-12,-8042.471,
2014-01,-5133.356,
2014-02,-1595.899,Provisional value
2014-03,-5079.242,Provisional value
2014-04,-5252.475,Provisional value
2014-05,8008.172,Provisional value
2014-06,-1532.103,Provisional value
2014-07,1961.825,Provisional value
2014-08,-2399.144,Provisional value
2014-09,-101.190,
2014-10,-966.007,
2014-11,5143.657,
2014-12,-5198.005,Provisional value
