"",BBK01.OEAM01V,BBK01.OEAM01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:14,
2002-01,2.529,
2002-04,2.867,
2002-07,3.121,
2002-10,3.108,
2003-01,2.342,
2003-04,2.136,
2003-07,2.304,
2003-10,2.870,
2004-01,2.292,
2004-04,2.218,
2004-07,2.148,
2004-10,2.939,
2005-01,2.808,
2005-04,2.959,
2005-07,3.204,
2005-10,3.014,
2006-01,2.907,
2006-04,3.314,
2006-07,3.226,
2006-10,3.148,
2007-01,3.041,
2007-04,3.348,
2007-07,2.881,
2007-10,3.426,
2008-01,3.408,
2008-04,3.280,
2008-07,3.892,
2008-10,4.208,
2009-01,4.216,
2009-04,4.938,
2009-07,4.869,
2009-10,4.785,
2010-01,4.501,
2010-04,4.646,
2010-07,4.790,
2010-10,4.570,
2011-01,4.435,
2011-04,4.295,
2011-07,4.853,
2011-10,5.806,
2012-01,6.194,
2012-04,6.524,
2012-07,5.373,
2012-10,5.773,
2013-01,5.458,
2013-04,5.888,
2013-07,5.524,
2013-10,5.659,
2014-01,5.218,
2014-04,6.232,
2014-07,6.100,
