"",BBK01.OEAH65Q,BBK01.OEAH65Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:20,
2002-01,0.265,
2002-04,0.264,
2002-07,0.262,
2002-10,0.259,
2003-01,0.248,
2003-04,0.233,
2003-07,0.219,
2003-10,0.222,
2004-01,0.208,
2004-04,0.198,
2004-07,0.188,
2004-10,0.164,
2005-01,0.151,
2005-04,0.150,
2005-07,0.142,
2005-10,0.139,
2006-01,0.171,
2006-04,0.184,
2006-07,0.204,
2006-10,0.246,
2007-01,0.303,
2007-04,0.338,
2007-07,0.386,
2007-10,0.455,
2008-01,0.477,
2008-04,0.508,
2008-07,0.546,
2008-10,0.601,
2009-01,0.585,
2009-04,0.520,
2009-07,0.422,
2009-10,0.302,
2010-01,0.241,
2010-04,0.231,
2010-07,0.235,
2010-10,0.237,
2011-01,0.249,
2011-04,0.265,
2011-07,0.265,
2011-10,0.258,
2012-01,0.235,
2012-04,0.225,
2012-07,0.210,
2012-10,0.191,
2013-01,0.170,
2013-04,0.148,
2013-07,0.132,
2013-10,0.120,
2014-01,0.106,
2014-04,0.101,
2014-07,0.098,
