"",BBK01.OECI07K,BBK01.OECI07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:00,
2002-01,0.927,
2002-04,0.620,
2002-07,0.608,
2002-10,0.676,
2003-01,0.662,
2003-04,0.638,
2003-07,0.724,
2003-10,0.707,
2004-01,0.668,
2004-04,0.657,
2004-07,0.831,
2004-10,1.374,
2005-01,2.621,
2005-04,2.751,
2005-07,2.747,
2005-10,2.632,
2006-01,2.509,
2006-04,2.486,
2006-07,2.430,
2006-10,2.410,
2007-01,2.466,
2007-04,2.418,
2007-07,2.367,
2007-10,2.398,
2008-01,2.406,
2008-04,2.483,
2008-07,2.422,
2008-10,2.573,
2009-01,2.779,
2009-04,2.955,
2009-07,3.294,
2009-10,3.241,
2010-01,3.314,
2010-04,3.272,
2010-07,3.275,
2010-10,3.327,
2011-01,3.278,
2011-04,3.184,
2011-07,3.137,
2011-10,3.107,
2012-01,3.364,
2012-04,3.269,
2012-07,3.499,
2012-10,3.519,
2013-01,3.251,
2013-04,3.179,
2013-07,3.085,
2013-10,3.076,
2014-01,3.014,
2014-04,2.945,
2014-07,2.982,
