"",BBFN1.M.DE.N.1.L.RS.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.RS.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:28,
2006-03,0.077,
2006-04,0.084,
2006-05,0.085,
2006-06,0.088,
2006-07,0.092,
2006-08,0.087,
2006-09,0.091,
2006-10,0.090,
2006-11,0.060,
2006-12,0.060,
2007-01,0.063,
2007-02,0.076,
2007-03,0.081,
2007-04,0.085,
2007-05,0.087,
2007-06,0.084,
2007-07,0.093,
2007-08,0.090,
2007-09,0.092,
2007-10,0.093,
2007-11,0.087,
2007-12,0.096,
2008-01,0.102,
2008-02,0.115,
2008-03,0.120,
2008-04,0.128,
2008-05,0.133,
2008-06,0.140,
2008-07,0.141,
2008-08,0.142,
2008-09,0.145,
2008-10,0.146,
2008-11,0.150,
2008-12,0.161,
2009-01,0.162,
2009-02,0.161,
2009-03,0.167,
2009-04,0.168,
2009-05,0.170,
2009-06,0.168,
2009-07,0.180,
2009-08,0.183,
2009-09,0.180,
2009-10,0.191,
2009-11,0.203,
2009-12,0.135,
2010-01,0.137,
2010-02,0.136,
2010-03,0.142,
2010-04,0.121,
2010-05,0.120,
2010-06,0.116,
2010-07,0.120,
2010-08,0.128,
2010-09,0.134,
2010-10,0.130,
2010-11,0.143,
2010-12,0.131,
2011-01,0.137,
2011-02,0.152,
2011-03,0.153,
2011-04,0.153,
2011-05,0.159,
2011-06,0.167,
2011-07,0.166,
2011-08,0.169,
2011-09,0.186,
2011-10,0.185,
2011-11,0.175,
2011-12,0.178,
2012-01,0.169,
2012-02,0.176,
2012-03,0.193,
2012-04,0.195,
2012-05,0.192,
2012-06,0.222,
2012-07,0.237,
2012-08,0.224,
2012-09,0.163,
2012-10,0.163,
2012-11,0.164,
2012-12,0.166,
2013-01,0.163,
2013-02,0.161,
2013-03,0.201,
2013-04,0.193,
2013-05,0.186,
2013-06,0.167,
2013-07,0.140,
2013-08,0.155,
2013-09,0.136,
2013-10,0.148,
2013-11,0.112,
2013-12,0.097,
2014-01,0.125,
2014-02,0.128,
2014-03,0.142,
2014-04,0.141,
2014-05,0.140,
2014-06,0.160,
2014-07,0.155,
2014-08,0.159,
2014-09,0.204,
2014-10,0.200,
2014-11,0.184,
2014-12,0.179,
