"",BBDA1.M.DE.Y.EX.S.A.B0.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.B0.A.V.ABA.A_FLAGS
"","Germany / Exports / At current prices, flows / Aggregate / all goods / EU28 (fixed composition) excluding Germany / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:21,
1993-01,16.16,
1993-02,18.08,
1993-03,17.04,
1993-04,16.92,
1993-05,17.17,
1993-06,16.42,
1993-07,16.85,
1993-08,17.03,
1993-09,17.59,
1993-10,16.99,
1993-11,17.33,
1993-12,17.40,
1994-01,16.90,
1994-02,17.44,
1994-03,18.69,
1994-04,18.06,
1994-05,18.89,
1994-06,18.99,
1994-07,18.74,
1994-08,19.51,
1994-09,19.56,
1994-10,19.33,
1994-11,18.88,
1994-12,20.17,
1995-01,20.19,
1995-02,19.99,
1995-03,20.03,
1995-04,20.02,
1995-05,20.49,
1995-06,21.37,
1995-07,20.20,
1995-08,20.39,
1995-09,22.49,
1995-10,20.85,
1995-11,20.26,
1995-12,21.32,
1996-01,21.95,
1996-02,20.49,
1996-03,20.85,
1996-04,21.18,
1996-05,21.22,
1996-06,20.90,
1996-07,22.53,
1996-08,21.36,
1996-09,21.80,
1996-10,22.66,
1996-11,22.06,
1996-12,23.53,
1997-01,21.77,
1997-02,22.70,
1997-03,23.08,
1997-04,21.61,
1997-05,24.39,
1997-06,24.16,
1997-07,24.82,
1997-08,24.53,
1997-09,25.08,
1997-10,24.59,
1997-11,25.24,
1997-12,26.34,
1998-01,25.93,
1998-02,26.01,
1998-03,25.00,
1998-04,27.37,
1998-05,26.20,
1998-06,27.25,
1998-07,28.02,
1998-08,25.76,
1998-09,26.08,
1998-10,26.98,
1998-11,26.44,
1998-12,25.86,
1999-01,26.25,
1999-02,26.71,
1999-03,25.60,
1999-04,26.78,
1999-05,27.43,
1999-06,28.17,
1999-07,28.36,
1999-08,28.71,
1999-09,28.73,
1999-10,28.01,
1999-11,30.47,
1999-12,28.72,
2000-01,29.81,
2000-02,29.93,
2000-03,31.25,
2000-04,30.95,
2000-05,32.57,
2000-06,32.08,
2000-07,32.79,
2000-08,32.17,
2000-09,32.63,
2000-10,35.17,
2000-11,34.67,
2000-12,33.82,
2001-01,34.05,
2001-02,34.65,
2001-03,33.21,
2001-04,34.37,
2001-05,33.87,
2001-06,34.02,
2001-07,35.04,
2001-08,35.11,
2001-09,33.50,
2001-10,34.08,
2001-11,33.08,
2001-12,33.95,
2002-01,32.90,
2002-02,33.65,
2002-03,33.34,
2002-04,34.08,
2002-05,32.68,
2002-06,35.92,
2002-07,34.32,
2002-08,36.14,
2002-09,35.89,
2002-10,34.98,
2002-11,36.28,
2002-12,35.86,
2003-01,34.78,
2003-02,35.47,
2003-03,36.12,
2003-04,34.35,
2003-05,35.06,
2003-06,35.38,
2003-07,36.16,
2003-08,36.31,
2003-09,37.98,
2003-10,36.42,
2003-11,37.86,
2003-12,38.53,
2004-01,37.40,
2004-02,37.80,
2004-03,38.28,
2004-04,38.62,
2004-05,40.37,
2004-06,38.83,
2004-07,39.66,
2004-08,40.03,
2004-09,39.85,
2004-10,40.49,
2004-11,42.01,
2004-12,38.32,
2005-01,40.89,
2005-02,40.24,
2005-03,40.41,
2005-04,40.64,
2005-05,42.68,
2005-06,42.05,
2005-07,42.03,
2005-08,42.75,
2005-09,43.50,
2005-10,43.42,
2005-11,44.31,
2005-12,43.58,
2006-01,45.40,
2006-02,45.41,
2006-03,45.13,
2006-04,46.30,
2006-05,46.50,
2006-06,47.19,
2006-07,47.62,
2006-08,47.34,
2006-09,48.74,
2006-10,49.85,
2006-11,48.94,
2006-12,49.45,
2007-01,51.09,
2007-02,51.86,
2007-03,51.16,
2007-04,52.04,
2007-05,51.82,
2007-06,52.10,
2007-07,52.63,
2007-08,52.57,
2007-09,53.21,
2007-10,53.56,
2007-11,53.41,
2007-12,53.19,
2008-01,54.19,
2008-02,53.49,
2008-03,52.95,
2008-04,54.04,
2008-05,52.68,
2008-06,53.67,
2008-07,53.68,
2008-08,53.37,
2008-09,53.08,
2008-10,52.20,
2008-11,46.60,
2008-12,44.06,
2009-01,42.90,
2009-02,40.86,
2009-03,41.14,
2009-04,40.37,
2009-05,39.59,
2009-06,40.74,
2009-07,41.77,
2009-08,41.78,
2009-09,44.10,
2009-10,42.88,
2009-11,42.22,
2009-12,43.93,
2010-01,42.94,
2010-02,43.95,
2010-03,46.57,
2010-04,44.84,
2010-05,47.57,
2010-06,49.14,
2010-07,47.87,
2010-08,48.16,
2010-09,49.11,
2010-10,49.47,
2010-11,49.81,
2010-12,51.19,
2011-01,50.84,
2011-02,51.30,
2011-03,53.88,
2011-04,51.87,
2011-05,52.87,
2011-06,53.52,
2011-07,51.39,
2011-08,53.36,
2011-09,54.17,
2011-10,50.96,
2011-11,53.41,
2011-12,50.28,
2012-01,51.68,
2012-02,52.61,
2012-03,52.21,
2012-04,51.12,
2012-05,54.07,
2012-06,51.64,
2012-07,52.12,
2012-08,53.15,
2012-09,51.76,
2012-10,52.28,
2012-11,50.71,
2012-12,50.55,
2013-01,52.15,
2013-02,51.43,
2013-03,51.40,
2013-04,51.18,
2013-05,51.20,
2013-06,52.16,
2013-07,51.59,
2013-08,52.26,
2013-09,53.11,
2013-10,53.50,
2013-11,52.87,
2013-12,52.80,
2014-01,54.95,
2014-02,54.21,
2014-03,52.53,
2014-04,54.51,
2014-05,53.54,
2014-06,54.29,
2014-07,56.64,
2014-08,54.38,
2014-09,55.70,
2014-10,55.69,
2014-11,55.97,
2014-12,56.78,
