"",BBFB1.Q.N.DE.F1.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:05,
1991-01,-14.602,
1991-04,-0.388,
1991-07,1.737,
1991-10,-0.218,
1992-01,5.095,
1992-04,0.405,
1992-07,-0.451,
1992-10,-0.266,
1993-01,-2.588,
1993-04,8.645,
1993-07,-1.372,
1993-10,-0.235,
1994-01,0.019,
1994-04,-0.455,
1994-07,-0.511,
1994-10,-0.008,
1995-01,-0.044,
1995-04,-0.183,
1995-07,-9.235,
1995-10,1.189,
1996-01,-0.405,
1996-04,-0.678,
1996-07,-1.319,
1996-10,-0.123,
1997-01,-0.123,
1997-04,-0.314,
1997-07,-1.166,
1997-10,9.806,
1998-01,-0.611,
1998-04,-0.289,
1998-07,-0.415,
1998-10,-0.391,
1999-01,-0.831,
1999-04,-0.585,
1999-07,-1.649,
1999-10,-0.100,
2000-01,-0.286,
2000-04,-1.439,
2000-07,-0.831,
2000-10,-0.403,
2001-01,-1.701,
2001-04,-0.513,
2001-07,-0.408,
2001-10,-0.298,
2002-01,-0.762,
2002-04,-,Nothing exists
2002-07,-0.435,
2002-10,-0.287,
2003-01,-0.755,
2003-04,-0.569,
2003-07,-0.455,
2003-10,-0.782,
2004-01,-0.421,
2004-04,-1.058,
2004-07,-0.380,
2004-10,9.196,
2005-01,-0.366,
2005-04,-1.409,
2005-07,-0.222,
2005-10,-0.373,
2006-01,-0.131,
2006-04,-0.409,
2006-07,-0.296,
2006-10,-2.175,
2007-01,-43.793,
2007-04,-36.562,
2007-07,10.150,
2007-10,-14.249,
2008-01,-42.469,
2008-04,-25.186,
2008-07,-25.318,
2008-10,-25.368,
2009-01,-91.307,
2009-04,-16.455,
2009-07,-50.053,
2009-10,-0.694,
2010-01,-0.071,
2010-04,-0.138,
2010-07,-0.428,
2010-10,-0.118,
2011-01,2.164,
2011-04,-0.113,
2011-07,-0.020,
2011-10,0.270,
2012-01,-0.687,
2012-04,-1.021,
2012-07,-1.146,
2012-10,-0.202,
2013-01,114.819,
2013-04,106.718,
2013-07,177.608,
2013-10,108.013,
2014-01,-641.866,Provisional value
2014-04,46.707,Provisional value
2014-07,-231.237,Provisional value
2014-10,-52.000,Provisional value
