"",BBK01.OEAC05K,BBK01.OEAC05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:59,
2002-01,9.292,
2002-04,8.952,
2002-07,9.444,
2002-10,8.911,
2003-01,8.456,
2003-04,8.128,
2003-07,7.892,
2003-10,7.587,
2004-01,7.452,
2004-04,7.756,
2004-07,7.591,
2004-10,7.085,
2005-01,7.348,
2005-04,7.338,
2005-07,7.690,
2005-10,7.451,
2006-01,7.413,
2006-04,7.567,
2006-07,7.523,
2006-10,7.226,
2007-01,6.975,
2007-04,7.066,
2007-07,7.217,
2007-10,7.217,
2008-01,7.536,
2008-04,7.763,
2008-07,7.419,
2008-10,7.189,
2009-01,6.874,
2009-04,7.178,
2009-07,6.878,
2009-10,6.429,
2010-01,6.743,
2010-04,6.779,
2010-07,7.228,
2010-10,7.274,
2011-01,7.338,
2011-04,7.165,
2011-07,7.917,
2011-10,7.175,
2012-01,7.277,
2012-04,7.445,
2012-07,8.028,
2012-10,7.385,
2013-01,7.276,
2013-04,7.246,
2013-07,7.593,
2013-10,7.472,
2014-01,7.327,
2014-04,7.522,
2014-07,7.882,
