"",BBSF2.M.1.T.00000.DSO01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DSO01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Other funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:14,
2009-09,166,
2009-10,143,
2009-11,155,
2009-12,288,
2010-01,145,
2010-02,210,
2010-03,163,
2010-04,144,
2010-05,190,
2010-06,168,
2010-07,241,
2010-08,134,
2010-09,130,
2010-10,133,
2010-11,296,
2010-12,227,
2011-01,181,
2011-02,158,
2011-03,174,
2011-04,164,
2011-05,111,
2011-06,138,
2011-07,84,
2011-08,80,
2011-09,74,
2011-10,189,
2011-11,64,
2011-12,134,
2012-01,79,
2012-02,78,
2012-03,193,
2012-04,105,
2012-05,98,
2012-06,147,
2012-07,109,
2012-08,68,
2012-09,44,
2012-10,44,
2012-11,88,
2012-12,107,
2013-01,223,
2013-02,254,
2013-03,61,
2013-04,125,
2013-05,307,
2013-06,76,
2013-07,89,
2013-08,73,
2013-09,81,
2013-10,227,
2013-11,107,
2013-12,118,
2014-01,597,
2014-02,187,
2014-03,101,
2014-04,302,
2014-05,86,
2014-06,243,
2014-07,268,
2014-08,113,
2014-09,211,
2014-10,216,
2014-11,253,
