"",BBK01.OEAC18R,BBK01.OEAC18R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:35,
2002-01,0.029,
2002-04,0.030,
2002-07,0.031,
2002-10,0.032,
2003-01,0.046,
2003-04,0.031,
2003-07,0.030,
2003-10,0.040,
2004-01,0.034,
2004-04,0.038,
2004-07,0.040,
2004-10,0.035,
2005-01,0.036,
2005-04,0.037,
2005-07,0.041,
2005-10,0.041,
2006-01,0.033,
2006-04,0.035,
2006-07,0.029,
2006-10,0.047,
2007-01,0.053,
2007-04,0.058,
2007-07,0.032,
2007-10,0.044,
2008-01,0.047,
2008-04,0.067,
2008-07,0.079,
2008-10,0.104,
2009-01,0.110,
2009-04,0.096,
2009-07,0.142,
2009-10,0.138,
2010-01,0.077,
2010-04,0.080,
2010-07,0.031,
2010-10,0.052,
2011-01,0.047,
2011-04,0.030,
2011-07,0.031,
2011-10,0.063,
2012-01,0.051,
2012-04,0.053,
2012-07,0.042,
2012-10,0.035,
2013-01,0.044,
2013-04,0.038,
2013-07,0.043,
2013-10,0.061,
2014-01,0.068,
2014-04,0.057,
2014-07,0.048,
