"",BBFB1.Q.N.DE.SE.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.SE.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:34,
1991-01,102.007,
1991-04,656.904,
1991-07,140.159,
1991-10,-286.251,
1992-01,-304.274,
1992-04,5.234,
1992-07,25.623,
1992-10,897.508,
1993-01,-58.724,
1993-04,272.627,
1993-07,419.389,
1993-10,342.355,
1994-01,299.566,
1994-04,352.549,
1994-07,-43.263,
1994-10,117.980,
1995-01,746.055,
1995-04,18.561,
1995-07,235.079,
1995-10,616.507,
1996-01,826.637,
1996-04,-299.727,
1996-07,-293.164,
1996-10,297.183,
1997-01,1205.497,
1997-04,-175.341,
1997-07,112.707,
1997-10,908.762,
1998-01,2896.753,
1998-04,1116.949,
1998-07,114.516,
1998-10,474.352,
1999-01,468.438,
1999-04,-241.188,
1999-07,625.983,
1999-10,-1.835,
2000-01,-2501.714,
2000-04,1553.194,
2000-07,1261.280,
2000-10,-312.925,
2001-01,-3896.580,
2001-04,3419.901,
2001-07,-253.588,
2001-10,1503.502,
2002-01,1627.283,
2002-04,-182.742,
2002-07,47.321,
2002-10,-3.709,
2003-01,441.264,
2003-04,776.408,
2003-07,-659.205,
2003-10,-590.255,
2004-01,277.134,
2004-04,583.991,
2004-07,-111.564,
2004-10,200.858,
2005-01,576.482,
2005-04,853.018,
2005-07,269.034,
2005-10,-610.093,
2006-01,1616.699,
2006-04,-200.876,
2006-07,339.659,
2006-10,1912.804,
2007-01,2448.420,
2007-04,631.402,
2007-07,872.103,
2007-10,4.170,
2008-01,300.446,
2008-04,1919.085,
2008-07,1051.587,
2008-10,-2091.436,
2009-01,835.982,
2009-04,2852.984,
2009-07,1344.802,
2009-10,-379.013,
2010-01,2172.946,
2010-04,-435.127,
2010-07,421.975,
2010-10,1179.853,
2011-01,-14.915,
2011-04,1309.354,
2011-07,-573.287,
2011-10,-298.444,
2012-01,2913.687,
2012-04,1449.320,
2012-07,1222.971,
2012-10,209.464,
2013-01,857.518,
2013-04,805.926,
2013-07,962.307,
2013-10,1296.351,
2014-01,661.397,Provisional value
2014-04,-626.381,Provisional value
2014-07,483.914,Provisional value
2014-10,291.622,Provisional value
