"",BBK01.OEBI08G,BBK01.OEBI08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:59,
2002-01,29.440,
2002-04,29.088,
2002-07,29.333,
2002-10,32.717,
2003-01,34.755,
2003-04,35.185,
2003-07,36.262,
2003-10,38.501,
2004-01,39.525,
2004-04,39.885,
2004-07,40.328,
2004-10,41.636,
2005-01,9.852,
2005-04,10.193,
2005-07,7.844,
2005-10,7.758,
2006-01,7.523,
2006-04,7.331,
2006-07,7.036,
2006-10,6.929,
2007-01,7.093,
2007-04,6.954,
2007-07,6.894,
2007-10,7.135,
2008-01,7.146,
2008-04,7.384,
2008-07,7.121,
2008-10,7.179,
2009-01,7.397,
2009-04,7.768,
2009-07,8.401,
2009-10,8.872,
2010-01,8.969,
2010-04,8.723,
2010-07,8.682,
2010-10,8.753,
2011-01,8.640,
2011-04,8.322,
2011-07,8.271,
2011-10,8.290,
2012-01,8.955,
2012-04,8.946,
2012-07,8.919,
2012-10,9.045,
2013-01,8.754,
2013-04,8.653,
2013-07,8.454,
2013-10,8.318,
2014-01,8.121,
2014-04,7.920,
2014-07,7.974,
