"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.FI.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.FI.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Finland / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:16,
2009-09,933,
2009-10,833,
2009-11,1055,
2009-12,1043,
2010-01,1031,
2010-02,1031,
2010-03,949,
2010-04,956,
2010-05,986,
2010-06,1067,
2010-07,1073,
2010-08,1086,
2010-09,925,
2010-10,918,
2010-11,1416,
2010-12,1451,
2011-01,1503,
2011-02,1253,
2011-03,1319,
2011-04,1750,
2011-05,1953,
2011-06,2301,
2011-07,2525,
2011-08,2784,
2011-09,2818,
2011-10,2886,
2011-11,2838,
2011-12,2885,
2012-01,3220,
2012-02,3292,
2012-03,3407,
2012-04,3845,
2012-05,4109,
2012-06,4039,
2012-07,4148,
2012-08,4171,
2012-09,4240,
2012-10,4185,
2012-11,4201,
2012-12,4222,
2013-01,4339,
2013-02,4401,
2013-03,4406,
2013-04,4441,
2013-05,4375,
2013-06,4497,
2013-07,4496,
2013-08,4707,
2013-09,4676,
2013-10,4567,
2013-11,4474,
2013-12,4378,
2014-01,4497,
2014-02,4561,
2014-03,4522,
2014-04,4477,
2014-05,4395,
2014-06,4365,
2014-07,4316,
2014-08,4313,
2014-09,4277,
2014-10,4344,
2014-11,4410,
